#;UF;Município;População*;Nome Complexo ;Grupo ANCINE;Registro Ancine do Complexo;Número de Salas
445;RJ;TERESÓPOLIS;180.886;Cine Show Teresópolis;CINESHOW;21219;3
446;RJ;TRÊS RIOS;81.453;Cine Show Três Rios;CINESHOW;24771;3
447;RJ;VALENÇA;76.163;Cine Glória Valença;INDEPENDENTE;16616;2
448;RJ;VASSOURAS;36.702;Cinemaxx Casario Shopping;CINEMAXX;18050;1
449;RJ;VOLTA REDONDA;271.998;ARAÚJO Multiplex Volta Redonda;ARAÚJO;41384;6
450;RJ;VOLTA REDONDA;271.998;Cine 9 de Abril;INDEPENDENTE;14326;1
451;RJ;VOLTA REDONDA;271.998;Cine Show Volta Redonda;CINESHOW;6743;4
452;RN;MOSSORÓ;294.076;Multicine Partage Shopping Mossoró;MULTICINE;17881;5
453;RN;NATAL;877.640;Cinemark Midway Mall Natal;CINEMARK;5565;7
454;RN;NATAL;877.640;Cinépolis Natal Shopping;CINÉPOLIS;25822;6
455;RN;NATAL;877.640;Cinépolis Partage Norte Shopping Natal;CINÉPOLIS;25194;6
456;RN;NATAL;877.640;Moviecom Praia Shopping;MOVIECOM SÃO PAULO;2894;7
457;RO;ARIQUEMES;106.168;Cine Laser Ariquemes;LASER;26897;3
458;RO;CACOAL;84.813;Cine Art Cacoal Shopping;INDEPENDENTE;37071;3
459;RO;JI-PARANÁ;127.907;Cine Laser Ji-Paraná;LASER;38137;3
460;RO;PORTO VELHO;519.531;ARAÚJO Cine Porto Velho;ARAÚJO;14826;6
461;RO;PORTO VELHO;519.531;Cine Veneza;INDEPENDENTE;13705;1
462;RO;ROLIM DE MOURA;54.702;Cine Columbia Rolim de Moura;CINE COLUMBIA/MILANI;14928;1
463;RO;VILHENA;97.448;Cine Laser Vilhena;LASER;19466;2
464;RR;BOA VISTA;375.374;ARAÚJO Multiplex Pátio Roraima;ARAÚJO;29179;5
465;RR;BOA VISTA;375.374;Cine Super K;INDEPENDENTE;28676;6
466;RR;BOA VISTA;375.374;Cinemark Boa Vista;INDEPENDENTE;31904;4
467;RS;BAGÉ;120.943;Cine 7;INDEPENDENTE;14790;1
468;RS;BENTO GONÇALVES;119.049;Cine Marcopolo;MOVIE ARTE;32792;2
469;RS;BENTO GONÇALVES;119.049;Movie L'América Shopping;MOVIE ARTE;18040;2
470;RS;CACHOEIRA DO SUL;82.547;Cine Via Sete - Cachoeira do Sul;MAHMUD;6690;2
471;RS;CACHOEIRINHA;129.307;Arcoplex Shopping do Vale;ARCOPLEX;24041;3
472;RS;CANOAS;344.957;Cinemark Canoas;CINEMARK;903;7
473;RS;CANOAS;344.957;UCI Park Shopping Canoas;UCI;38245;7
474;RS;CAPÃO DA CANOA;52.004;Cine + Arte Capão da Canoa;CINE + ARTE;36025;1
475;RS;CAXIAS DO SUL;504.069;Cinépolis San Pelegrino;CINÉPOLIS;19864;6
476;RS;CAXIAS DO SUL;504.069;GNC Caxias do Sul;GNC;3053;6
477;RS;CRUZ ALTA;60.693;Cult Cinemas Cruz Alta;INDEPENDENTE;38512;2
478;RS;ERECHIM;105.059;Movie Master Sonda;MOVIE ARTE;14252;1
479;RS;GRAMADO;35.875;Cinema de Gramado (Cine Embaixador);INDEPENDENTE;15086;1
480;RS;GRAVATAÍ;279.398;Arcoplex Shopping Gravataí;ARCOPLEX;34183;5
481;RS;IJUÍ;83.173;Cult Cinemas Ijuí;INDEPENDENTE;41665;1
482;RS;LAJEADO;82.951;Arcoplex Lajeado;ARCOPLEX;24051;4
483;RS;MONTENEGRO;64.788;Cine + Arte Tanópolis;CINE + ARTE;32157;1
484;RS;NOVA PRATA;26.849;Movie Arte Nova Prata;MOVIE ARTE;37102;1
