Listagem de Autorizações de Produções Audiovisuais no Brasil com Participação de Profissionais Estrangeiros 2017;;;;;;;;;;;
;;;;;;;;;;;
Número de Autorização de Origem;Data da Aprovação;"Número de Técnicos/
Artistas Estrangeiros";Título da Obra;Tipo de Obra;Período Produção;Empresa Brasileira;UF;Empresa Estrangeira;País;Produção;Local de Filmagem (UF)
47;09/03/2017;4;"""Nido""";Obra Publicitária;"""9 a 26 de março de 2017""";Zohar Cinema e Comunicação Ltda;RJ;"""Premiere Heure""";"""França""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
48;09/03/2017;2;"""Jonetsu Tairiku - Reabilitação e Soltura do Peixe-Boi Amazônico""";Documentário;"""28 de março a 19 de abril de 2017""";Xes Projetos Visuais Ltda;SP;"""Ortus Japan, Inc""";"""Japão""";Produção Estrangeira;"""Manaus, Manacapuru, Coari e Médio Solimões (AM)"""
49;09/03/2017;13;"""Brazil Runners Project""";Documentário;"""02 a 7 de abril de 2017""";BPS Produções e Serviços Eireli;RJ;"""Figura Media LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""Rio de Janeiro (RJ)"""
51;15/03/2017;3;"""Equator 360 - No Shadows""";Documentário;"""22 de março a 14 de abril de 2017""";Viva Filmes Ltda;RJ;"""Primitive Entertainment """;"""Canadá""";Produção Estrangeira;"""Manaus, Manacapuru, Piagaçu-Purus, Beruri e Baixo Purus (AM); Parque Nacional Itaituba (PA); Irauçuba, Umirim e General Sampaio (CE)"""
52;15/03/2017;2;"""Brazilian Chef Exchange""";Institucional;"""04 a 11 de abril de 2017""";BPS Produções e Serviços Eireli;RJ;"""Figura Media LLC""";"""Estados Unidos da América""";Produção Estrangeira;"""São Paulo (SP)"""
50;16/03/2017;6;"""Say Yes Movement""";Institucional;"""23 a 30 de março de 2017""";Viva Filmes Ltda;RJ;"""Rogue Films""";"""Reino Unido""";Produção Estrangeira;"""Salvador (BA)"""
53;21/03/2017;2;"""Rotten""";Documentário;"""24 a 30 de março de 2017""";Dona Ana Filmes & Multimedia Ltda - ME;SP;"""Zero Point Zero Production Inc""";"""Estados Unidos da América""";Produção Estrangeira;"""Sâo Paulo (SP); Brasília (DF)"""
54;21/03/2017;3;"""6 River Run""";Documentário;"""27 de março a 3 de abril de 2017""";Dez e Vinte Produções Cinematográficas LTDA ME;SP;"""Thirst""";"""Hong Kong (China)""";Produção Estrangeira;"""São Paulo (SP); Manaus  e Presidente Figueiredo (AM)"""
55;21/03/2017;3;"""Treasure The Connection""";Documentário;"""28 de março a 10 de abril de 2017""";Town Network Filmagens Ltda;SP;"""GPA Inc""";"""Japão""";Produção Estrangeira;"""São Paulo, Campinas, Itú  e Cosmópolis (SP); Rio de Janeiro e Paraty (RJ); Manaus (AM); Olinda (PE); Florianópolis (SC); Gravataí e Cándido Godói (RS); Belo Horizonte (MG)."""
57;24/03/2017;1;"""L'initiée""";Documentário;"""30 de março a 9 de abril  de 2017""";Story Produções Ltda - EPP;SP;"""Caméra One Télévision""";"""França""";Produção Estrangeira;"""São Paulo (SP)"""
