Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Público;Renda (R$);
2000;B0500312100000;Minha Vida em suas Mãos;José Antônio Garcia;Ficção;Roderaf Produções Artísticas;RJ;-;-;Warner;15;10.222;45.733,00;
2000;B0800875000000;O Auto da Compadecida;Guel Arraes;Ficção;Globo Filmes;RJ;-;-;Columbia;199;2.157.166;11.496.994,00;
2000;B0500309400000;O Dia da Caça;Alberto Graça;Ficção;Mpc Filmes;RJ;-;-;UIP/RioFilme;50;43.531;239.708,00;
2000;B0500310600000;O Rap do Pequeno Príncipe Contra as Almas Sebosas;Marcelo Luna/Paulo Caldas;Documentário;Raccord Produções;RJ;-;-;RioFilme;9;22.577;73.489,00;
2000;B0300011200000;Oriundi;Ricardo Bravo;Ficção;Laz Audiovisual;PR;-;-;Warner;68;38.755;223.608,00;
2000;B0500406100000;Os Três Zuretas;Cecílio Neto;Ficção;CN Cine;SP;-;-;RioFilme;18;6.760;33.899,00;
2000;B0400163400000;Pierre Verger: Mensageiro entre Dois Mundos;Lula Buarque de Hollanda;Documentário;Conspiração Filmes/Globosat;RJ/RJ;-;-;RioFilme;ND;3.400;ND;
2000;B0500247700000;Quase Nada;Sergio Rezende;Ficção;Morena Filmes;RJ;-;-;RioFilme;11;10.691;63.937,00;
2000;B0800899400000;Tolerância;Carlos Gerbase;Ficção;Casa de Cinema de Porto Alegre;RS;-;-;Columbia;90;84.620;497.953,00;
2000;B0500266700000;Um Certo Dorival Caymmi;Aluisio Didier;Documentário;Brasiliana Produções;RJ;-;-;RioFilme;2;2.076;10.509,00;
2000;B0400132100000;Villa Lobos - uma Vida de Paixão;Zelito Viana;Ficção;Mapa Filmes;RJ;-;-;UIP/RioFilme;50;143.981;874.453,00;
2000;B0500297900000;Xuxa Popstar;Paulo Sérgio Almeida/Tizuka Yamasaki;Ficção;Diler & Associados;RJ;Warner;SP;Warner;304;2.394.326;9.625.191,00;
2001;B0400100600000;2000 Nordestes;David França Mendes/Sandra Magalhães Delgado/Vicente Amorim;Documentário;Filmes do Equador;RJ;-;-;RioFilme;2;4.297;20.707,00;
2001;B0901027200000;A Hora Marcada;Marcelo Taranto;Ficção;MT Filmes;RJ;-;-;UIP;18;16.441;92.213,00;
2001;B0500309300000;A Partilha;Daniel Filho;Ficção;Lereby;RJ;-;-;Columbia;155;1.449.411;8.797.925,00;
2001;B0500308900000;Abril Despedaçado;Walter Salles;Ficção;Videofilmes;RJ;-;-;Lumière;49;353.713;2.063.956,00;
2001;B0500309600000;Amores Possíveis;Sandra Werneck;Ficção;Cineluz Produções;RJ;LaboCine/Estudios Quanta;RJ/SP;Fox;80;396.224;2.658.663,00;
2001;B0500254900000;Anésia - um Vôo no Tempo;Ludmila Ferolla;Documentário;Mares Produções;RJ;-;-;RioFilme;3;1.498;6.436,00;
2001;B0500311700000;As Feras;Walter Hugo Khouri;Ficção;Cinearte Produções Cinematográficas;SP;-;-;RioFilme;5;3.645;14.922,00;
2001;B0500312300000;Babilônia 2000;Eduardo Coutinho;Documentário;Videofilmes;RJ;-;-;RioFilme;3;15.301;86.496,00;
2001;B0500312400000;Barra 68 - Sem Perder a Ternura;Vladimir Carvalho;Documentário;Folkino Produções Audiovisuais;DF;-;-;RioFilme;3;6.989;31.427,00;
2001;B0500309800000;Bicho de Sete Cabeças;Laís Bodanzky;Ficção;Buriti Filmes/Dezenove Som e Imagens;SP/SP;Gullane;SP;Columbia;50;401.565;2.184.514,00;
2001;B0700637600000;Brava Gente Brasileira;Lucia Murat;Ficção;Taiga Filmes e Vídeo;RJ;-;-;RioFilme;14;23.170;102.507,00;
2001;B0500309100000;Bufo & Spallanzani;Flávio Ramos Tambellini;Ficção;Tambellini Filmes;RJ;-;-;Warner;39;47.017;251.836,00;
2001;B0500312200000;Caramuru - a Invenção do Brasil;Guel Arraes;Ficção;Globo Filmes;RJ;-;-;Columbia;170;246.023;1.500.740,00;
2001;B0500312000000;Condenado à Liberdade;Emiliano Ribeiro;Ficção;Ipê Artes;RJ;-;-;UIP;38;15.262;77.169,00;
2001;B0500310000000;Copacabana;Carla Camurati;Ficção;Copacabana Filmes e Produções;RJ;-;-;Elimar;13;234.014;1.422.805,00;
2001;B0500300000000;Domésticas, O Filme;Fernando Meirelles/Nando Olival;Ficção;O2 Filmes;SP;-;-;Pandora;5;91.488;422.675,00;
2001;B0500277300000;Lavoura Arcaica;Luiz Fernando Carvalho;Ficção;Luiz Fernando de Carvalho Produções Artísticas;RJ;Videofilmes;RJ;RioFilme;10;143.860;874.018,00;
2001;B0300047000000;Memórias Póstumas;André Klotzel;Ficção;Brás Filmes/TV Cultura;SP/SP;-;-;Lumière;57;186.380;855.484,00;
2001;B0300006100000;Nelson Gonçalves;Elizeu Ewald;Documentário;Diler & Associados/Proview/Rob Filmes/Tele Image;RJ/RJ/RJ/SP;-;-;RioFilme;3;4.381;20.881,00;
2001;B0500314000000;Netto Perde Sua Alma;Beto Souza/Tabajara Ruas;Ficção;Imagem B/Walper Ruas Produções;RS/RS;-;-;RioFilme;22;41.479;187.837,00;
2001;B0500309700000;O Casamento de Louise;Betse de Paula;Ficção;Aurora Cinematográfica;RJ;-;-;RioFilme;5;8.761;49.126,00;
2001;B0600454600000;O Chamado de Deus;José Joffily;Documentário;Coevo Filmes;RJ;-;-;RioFilme;2;4.535;25.316,00;
2001;B0500288800000;O Grilo Feliz;Walbercy Ribas;Animação;StartAnima;SP;-;-;HOYTS;29;216.611;1.022.404,00;
2001;B0500258400000;O Sonho de Rose, 10 Ano Depois;Tetê Moraes;Documentário;Vemver Brasil;RJ;-;-;RioFilme;5;12.232;46.561,00;
2001;B0300004700000;O Xangô de Baker Street;Miguel Faria Jr.;Ficção;Skylight/Tibet Filme;RJ/RJ;-;-;Columbia;76;366.353;2.275.052,00;
2001;B0500265600000;Senta a Pua!;Erik de Castro;Documentário;Bsb Cinema;DF;-;-;RioFilme;8;13.181;78.756,00;
2001;B0500288700000;Tainá - uma Aventura na Amazônia;Sérgio Bloch/Tânia Lamarca;Ficção;Tietê Produções;RJ;-;-;Art Filmes/MAM;100;853.210;3.054.492,00;
2001;B0600549900000;Tônica Dominante;Lina Chamie;Ficção;Superfilmes;SP;-;-;RioFilme;3;8.020;46.159,00;
2001;B0500335400000;Um Anjo Trapalhão;Alexandre Boury/Marcelo Travesso;Ficção;Renato Aragão Produções;RJ;-;-;Fox;153;125.913;513.632,00;
2001;B0500186600000;Xuxa e os Duendes;Paulo Sérgio Almeida/Rogério Gomes;Ficção;Diler & Associados;RJ;-;-;Warner;311;2.657.091;11.691.200,00;
2002;B0500311900000;A Paixão de Jacobina;Fábio Barreto;Ficção;Filmes do Equador;RJ;-;-;PlayArte;45;146.062;682.110,00;
2002;B0500309000000;As Três Marias;Aluizio Abranches;Ficção;Hare Filmes;RJ;-;-;Lumière;10;13.003;76.819,00;
2002;B0300009600000;Avassaladoras;Mara Mourão;Ficção;Mamo Filmes;SP;Total Entertainment;RJ;Fox;103;310.260;1.722.883,00;
2002;B0500309900000;Bellini e a Esfinge;Roberto Santucci;Ficção;Ananã Produções/Santa Fé Filmes;RJ/RJ;-;-;Copacabana Filmes;21;60.073;300.000,00;
2002;B0300002800000;Cidade de Deus;Fernando Meirelles;Ficção;O2 Filmes;SP;-;-;Lumière;176;3.370.871;19.066.087,00;
2002;B0300031500000;Dias de Nietzsche em Turim;Julio Bressane;Ficção;TB Produções;RJ;-;-;RioFilme;2;15.017;85.993,00;
2002;B0500291000000;Duas Vezes com Helena;Mauro Farias;Ficção;Fraiha Produções;RJ;-;-;RioFilme;5;6.374;40.056,00;
2002;B0500288900000;Edifício Master;Eduardo Coutinho;Documentário;Videofilmes;RJ;-;-;RioFilme;7;86.483;605.243,00;
2002;B1201554100000;Eu não Conhecia Tururu;Florinda Bolkan;Ficção;Jandaira Produções;CE;-;-;RioFilme;2;823;5.621,00;
2002;B0500404500000;Gregório de Mattos;Ana Carolina;Ficção;Crystal Cinematográfica;RJ;-;-;RioFilme;2;3.812;23.660,00;
2002;B0500298200000;Houve uma Vez Dois Verões;Jorge Furtado;Ficção;Casa de Cinema de Porto Alegre;RS;-;-;Columbia;11;68.487;384.212,00;
2002;B0600513700000;Invasor;Beto Brant;Ficção;Drama Filmes;SP;Brasil Filmes/Ricca Produções;SP/SP;Pandora;16;103.810;669.762,00;
2002;B0500301000000;Janela da Alma;João Jardim/Walter Carvalho;Documentário;Dueto Filmes/Tambellini Filmes;RJ/RJ;-;-;Copacabana Filmes;4;141.360;795.856,00;
2002;B0400148200000;Lara;Ana Maria Magalhães;Ficção;Nova Era Produções;RJ;-;-;RioFilme;9;2.639;15.504,00;
2002;B0500311800000;Latitude Zero;Toni Venturi;Ficção;Olhar Imaginário;SP;-;-;RioFilme;6;7.867;44.829,00;
2002;B0300008800000;Madame Satã;Karim Aïnouz;Ficção;Videofilmes;RJ;-;-;Lumière;24;163.161;1.155.180,00;
2002;B0500294200000;Nem Gravata, Nem Honra;Marcelo Masagão;Documentário;Um Minuto;SP;-;-;RioFilme;2;3.237;15.789,00;
