"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2010""";;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)""";
"""58""";30/03/2010;"""9""";"""Bikini destination""";"""Programa de TV""";"""06/04/2010 a 15/04/2010""";"""Fera Filmes Ltda""";"""RJ""";"""Bennett Productions Inc.""";"""Estados Unidos""";"""Estrangeira""";"""SC""";
"""59""";30/03/2010;"""1""";"""Garnier stop queda""";"""Publicitária""";"""23/04/2010 a 30/04/2010""";"""Zohar Cinema e Comunicação Ltda""";"""RJ""";""" - """;""" - """;"""Brasileira""";"""RJ""";
"""60""";01/04/2010;"""4""";"""Earth - The manual´s operator (E-TOM)""";"""Documentário""";"""24/04/2010 a 15/05/2010""";"""Neon Rio Ltda.""";"""RJ""";"""Geoff Haines-Stiles Productions Ltd.""";"""Estados Unidos""";"""Estrangeira""";"""CE/MG/PR/RJ/SP""";
"""61""";05/04/2010;"""3""";"""Rexona earring""";"""Publicitária""";"""05/04/2010 a 07/05/2010""";"""Conspiração Filmes S/A""";"""RJ""";"""Prettybird""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";
"""62""";05/04/2010;"""8""";"""Imagens para arquivo""";"""Captação de Imagens""";"""12/04/2010 a 25/04/2010""";"""Alfixit Produções Culturais e Artísticas Ltda.""";"""SP""";"""Light Publicity""";"""Japão""";"""Estrangeira""";"""RJ""";
"""63""";05/04/2010;"""6""";"""Compassion in Brazil""";"""Institucional""";"""06/04/2010 a 21/04/2010""";"""Studium P.A. Áudio e Vídeo Ltda.""";"""SP""";"""Prospect Arts Limited""";"""Inglaterra""";"""Estrangeira""";"""CE/PE/SP""";
"""64""";05/04/2010;"""2""";"""Green paradise""";"""Documentário""";"""15/04/2010 a 08/05/2010""";"""Neon Rio Ltda.""";"""RJ""";"""What´s Up Films""";"""França""";"""Estrangeira""";"""MT/PR""";
"""65""";07/04/2010;"""4""";"""The greatest movie ever sold""";"""Documentário""";"""10/04/2010 a 18/04/2010""";"""Blue Eye Empreendimentos e Produções Audiovisuais Ltda""";"""RJ""";"""Your Brand Here Production""";"""Estados Unidos""";"""Estrangeira""";"""SP""";
"""66""";08/04/2010;"""4""";"""Ocean giants, A vida secreta das baleias e golfinhos""";"""Documentário""";"""16/05/2010 a 29/05/2010""";"""Francisco Ferreira Pinto Filho (Amazon Film Productions)""";"""AM""";"""The British Broadcasting Corporation - BBC""";"""Inglaterra""";"""Estrangeira""";"""AM""";
"""67""";12/04/2010;"""1""";"""Chuva de roupa""";"""Publicitária""";"""15/04/2010 a 30/04/2010""";"""Paranoid Brasil Ltda""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP""";
"""68""";12/04/2010;"""1""";"""Cachez ce Saint! Sur les traces D´Expedit""";"""Documentário""";"""16/04/2010 a 22/04/2010""";"""KinoFilmes Produções Artísticas e Cinematográficas Ltda""";"""RJ""";"""S.A.R.L. FMC Productions""";"""França""";"""Estrangeira""";"""RJ/SP""";
"""69""";13/04/2010;"""2""";"""Exandas documentary series""";"""Documentário""";"""16/04/2010 a 22/04/2010""";"""Sol Entertainment Ltda""";"""RJ""";"""Small Planet - Documentary Production House""";"""Grécia""";"""Estrangeira""";"""PR/SP""";
"""70""";14/04/2010;"""2""";"""Daughtry""";"""Publicitária""";"""14/04/2010 a 25/04/2010""";"""O2 Produções Artísticas e Cinematográficas Ltda""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP""";
"""71""";15/04/2010;"""7""";"""Almost""";"""Publicitária""";"""20/04/2010 a 08/05/2010""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Anonymous Content""";"""Estados Unidos""";"""Estrangeira""";"""SP""";
"""72""";15/04/2010;"""5""";"""Red Bull Airrace Rio 2010""";"""Documentário""";"""05/05/2010 a 10/05/2010""";"""Aura Filme Produções Ltda.""";"""RJ""";"""InfoNetwork""";"""Alemanha""";"""Estrangeira""";"""RJ""";
"""73""";15/04/2010;"""6""";"""Lovemeatender""";"""Documentário""";"""25/04/2010 a 04/05/2010""";"""Kosmo Criação Mídia e Produção Ltda.""";"""SP""";"""AT-Production S A""";"""Bélgica""";"""Estrangeira""";"""DF/MT/PA/PR""";
"""74""";19/04/2010;"""4""";"""Sustentabilidade e inovação no setor sucro-alcooleiro brasileiro""";"""Institucional""";"""16/05/2010 a 21/05/2010""";"""Isla Fotovídeo Produções Ltda.""";"""RJ""";"""LonelyLeap Company""";"""Inglaterra""";"""Estrangeira""";"""GO/SP""";
"""75""";19/04/2010;"""3""";"""Gates on Latin America""";"""Documentário""";"""09/05/2010 a 22/05/2010""";"""Neon Rio Ltda.""";"""RJ""";"""Wall to Wall Media""";"""Inglaterra""";"""Estrangeira""";"""BA/MG/PE/RJ""";
"""76""";19/04/2010;"""1""";"""Heleno - O homem que chutava com a cabeça""";"""Ficção""";"""01/05/2010 a 01/07/2010""";"""RT Comércio e Serviços de Criação e Produção """;"""SP""";""" - """;""" - """;"""Brasileira""";"""RJ""";
"""77""";20/04/2010;"""2""";"""Luta pela paz""";"""Publicitária""";"""24/04/2010 a 09/05/2010""";"""Zohar Cinema e Comunicação Ltda""";"""RJ""";"""Luta Limited Company""";"""Inglaterra""";"""Estrangeira""";"""RJ""";
"""78""";20/04/2010;"""10""";"""Wings of glory""";"""Documentário""";"""29/04/2010 a 15/05/2010""";"""Aura Filme Produções Ltda.""";"""RJ""";"""Thomas Rilk Filmproduktion""";"""Áustria""";"""Estrangeira""";"""RJ""";
"""79""";22/04/2010;"""2""";"""Amor sujo""";"""Ficção""";"""25/04/2010 a 08/06/2010""";"""Bananeira Filmes Ltda.""";"""RJ""";"""Fado Filmes Ltda.""";"""Portugal""";"""Coprodução""";"""PE""";
"""80""";28/04/2010;"""2""";"""2014K""";"""Documentário""";"""29/04/2010 a 10/05/2010""";"""Globo Comunicação e Participações S/A""";"""RJ""";""" - """;""" - """;"""Brasileira""";"""RJ/SP""";
"""82""";29/04/2010;"""1""";"""Wallace and Gromit´s world of invention""";"""Documentário""";"""30/04/2010 a 06/05/2010""";"""Terra Vermelha Filmes Ltda.""";"""RJ""";"""Aardman Animations Ltd.""";"""Inglaterra""";"""Estrangeira""";"""SP""";
"""83""";29/04/2010;"""3""";"""São Paulo Green Belt Biosphere Reserve""";"""Documentário""";"""18/05/2010 a 26/05/2010""";"""Planeta Film Ltda.""";"""SP""";"""Biosphere Television""";"""Canadá""";"""Estrangeira""";"""SP""";
"""84""";04/05/2010;"""4""";"""International open houses""";"""Documentário""";"""19/05/2010 a 30/05/2010""";"""Blue Eye Empreendimentos e Produções Audiovisuais Ltda""";"""RJ""";"""Tremendous! Entertainment, Inc.""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";
"""85""";05/05/2010;"""3""";"""Futebol com cegos no Rio de Janeiro""";"""Documentário""";"""26/05/2010 a 30/05/2010""";"""Aura Filme Produções Ltda.""";"""RJ""";"""Maximus Film GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ""";
"""86""";07/05/2010;"""1""";"""Especial seleção japonesa de vôlei feminino no Brasil""";"""Documentário""";"""13/06/2010 a 27/06/2010""";"""XES Projetos Visuais Ltda.""";"""SP""";"""TBS - Tokyo Broadcasting System, Inc.""";"""Japão""";"""Estrangeira""";"""RJ/RN/SP""";
"""87""";11/05/2010;"""3""";"""Gyakuryu! Shiraberu travel""";"""Documentário""";"""21/05/2010 a 28/05/2010""";"""Alfixit Produções Culturais e Artísticas Ltda.""";"""SP""";"""Wholeman Co. Ltd.""";"""Japão""";"""Estrangeira""";"""AM/SP""";
"""88""";13/05/2010;"""3""";"""Family history""";"""Documentário""";"""01/06/2010 a 15/06/2010""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""NHK - Nippon Hoso Kyokai""";"""Japão""";"""Estrangeira""";"""SP""";
"""89""";13/05/2010;"""2""";"""Human planet - parte 2""";"""Documentário""";"""20/05/2010 a 05/06/2010""";"""Neon Rio Ltda.""";"""RJ""";"""BBC - British Broadcasting Corporation - Bristol""";"""Inglaterra""";"""Estrangeira""";"""AC""";
"""90""";13/05/2010;"""2""";"""Onças no Pantanal""";"""Documentário""";"""06/06/2010 a 26/06/2010""";"""Tambke Filmes Ltda.""";"""RJ""";"""Bayerischer Rundfunk""";"""Alemanha""";"""Estrangeira""";"""MS/SP""";
"""91""";14/05/2010;"""2""";"""Rivers Amazon - parte 3""";"""Documentário""";"""01/06/2010 a 20/06/2010""";"""Neon Rio Ltda.""";"""RJ""";"""BBC - British Broadcasting Corporation - Wales""";"""País de Gales""";"""Estrangeira""";"""AM""";
"""92""";17/05/2010;"""4""";"""Flavio e Paolo""";"""Publicitária""";"""25/05/2010 a 25/06/2010""";"""Sister Entretenimento Ltda.""";"""SP""";"""CDI Virtual Films, Inc.""";"""Estados Unidos""";"""Estrangeira""";"""MG/SP""";
"""93""";17/05/2010;"""8""";"""AVK""";"""Publicitária""";"""26/05/2010 a 31/05/2010""";"""JKR Produções Artísticas Ltda""";"""RJ""";"""Lime Lite Studio""";"""Ucrânia""";"""Estrangeira""";"""BA""";
"""94""";18/05/2010;"""5""";"""Operação Dia de Trabalho - OD""";"""Documentário""";"""21/05/2010 a 08/06/2010""";"""Ateliê Produções Ltda.""";"""PE""";"""Snoball""";"""Noruega""";"""Estrangeira""";"""PE""";
"""95""";18/05/2010;"""1""";"""Escolhendo o presente""";"""Publicitária""";"""21/05/2010 a 02/06/2010""";"""Paranoid Brasil Ltda""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP""";
