"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2012""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
"""47""";13/03/2012;"""3""";"""Sekai No Kaidou Wo Iku""";"""Documentário""";"""25/03/2012 a 11/04/2012""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""Telecom Staff Inc.""";"""Japão""";"""Estrangeira""";"""MS/SP"""
"""48""";13/03/2012;"""2""";"""Inside""";"""Documentário""";"""15/04/2012 a 03/05/2012""";"""Terra Vermelha Filmes Ltda.""";"""RJ""";"""Infocus Asia Pte Ltd""";"""Cingapura""";"""Estrangeira""";"""AM/RJ"""
"""048-1""";12/04/2012;"""Cancelamento do projeto""";"""Inside""";"""Documentário""";"""xxx """;"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""Estrangeira""";"""xxx"""
"""49""";14/03/2012;"""5""";"""Water Park""";"""Publicitária""";"""20/03/2012 a 31/03/2012""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Superstudio""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
"""049-1""";30/03/2012;"""Cancelamento do projeto""";"""Water Park""";"""Publicitária""";"""xxx """;"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""Estrangeira""";"""xxx"""
"""50""";15/03/2012;"""14""";"""Oprah's Next Chapter""";"""Documentário""";"""26/03/2012 a 30/03/2012""";"""Serres Produções em Cine VT Ltda.""";"""SP""";"""Harpo Productions, LLC""";"""Estados Unidos""";"""Estrangeira""";"""GO"""
"""050-4""";22/03/2012;"""Cancelamento do projeto""";"""Oprah's Next Chapter""";"""Documentário""";"""xxx """;"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""Estrangeira""";"""xxx"""
"""51""";15/03/2012;"""4""";"""Echoes Of Silence""";"""Documentário""";"""12/04/2012 a 06/05/2012""";"""Fonte de Luz Cinema e Comunicação Ltda.""";"""RJ""";"""Sparrows AG""";"""Suíça """;"""Estrangeira""";"""RJ"""
"""52""";16/03/2012;"""1""";"""Quadra Heróica""";"""Publicitária""";"""27/03/2012 a 08/04/2012""";"""Paranoid Brasil Ltda.""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""SP"""
"""53""";16/03/2012;"""2""";"""Great Nature: Diamond No Chi Hi Hisomerareta Zekkei""";"""Documentário""";"""26/03/2012 a 10/06/2012""";"""Town Network Filmagens Ltda.""";"""SP""";"""Azmax Co. Ltd.""";"""Japão""";"""Estrangeira""";"""BA"""
"""54""";16/03/2012;"""4""";"""Birth Day""";"""Documentário""";"""29/05/2012 a 05/06/2012""";"""Brian M. Sewell Produções Cinematográficas.""";"""RJ""";"""Sultan Sushi TV""";"""Bélgica""";"""Estrangeira""";"""RJ"""
"""55""";19/03/2012;"""2""";"""Pro-7 Galileo""";"""Documentário""";"""20/03/2012 a 06/04/2012""";"""Neon Rio Ltda.""";"""RJ""";"""ProSiebenSat.1 Digital GmbH""";"""Alemanha""";"""Estrangeira""";"""AM/MS/RJ/RN"""
"""56""";19/03/2012;"""4""";"""Debaixo Cobertores Desconhecidos""";"""Documentário""";"""10/04/2012 a 16/04/2012""";"""Sol Entertainment Ltda.""";"""RJ""";"""Story House Productions GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ"""
"""57""";20/03/2012;"""3""";"""Wild Brazil""";"""Documentário""";"""18/04/2012 a 31/12/2013""";"""Light & Shadow Filmes Ltda.""";"""RJ""";"""Light & Shadow GmbH""";"""Alemanha""";"""Coprodução""";"""AM/MT/PE"""
"""58""";20/03/2012;"""3""";"""Crosswalk Adidas""";"""Publicitária""";"""29/03/2012 a 15/04/2012""";"""Content Realizações e Produções Audiovisuais Ltda.""";"""SP""";"""Prettybird""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
