Listagem de Distribuidoras 2009 a 2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ano de exibição;Distribuidora;Número de Registro Ancine;Origem da empresa distribuidora;Público;Público Filmes Brasileiros;Renda (R$);Renda Filmes Brasileiros (R$);Títulos Exibidos;Títulos Brasileiros Exibidos;Títulos Lançados;Títulos Brasileiros Lançados;;
2011;Miração Filmes;1860;Distribuição Nacional;828;828;3.201,59;3.201,59;1;1;1;1;;
2011;Mobz;19119;Distribuição Nacional;47.314;0;905.526,44;0,00;2;0;2;0;;
2011;Okna Produções;11871;Distribuição Nacional;ND;ND;ND;ND;1;1;1;1;;
2011;Panda Filmes;941;Distribuição Nacional;10.218;2.285;84.111,52;19.267,68;5;3;4;2;;
2011;Pandora Filmes;12443/333;Distribuição Nacional;65.369;13.190;574.166,42;94.422,03;25;6;6;3;;
2011;Paramount;169;Distribuição Internacional;24.253.226;1.283.545;252.000.886,00;11.967.157,00;21;3;17;1;;
2011;Paris;11922;Distribuição Nacional;13.801.567;912.676;136.992.869,42;8.288.698,51;36;3;23;3;;
2011;Petrini;18028;Distribuição Nacional;25.553;0;216.244,89;0,00;4;0;3;0;;
2011;Pipa Produções;5467;Distribuição Nacional;33.130;31.912;260.124,51;250.448,51;6;5;6;5;;
2011;Playarte;443;Distribuição Nacional;3.199.162;115.807;34.896.890,05;1.035.570,84;28;4;17;1;;
2011;Polifilmes;2550;Distribuição Nacional;23.712;23.712;205.232,90;205.232,90;9;9;6;6;;
2011;Polifilmes/Lapfilme;2550/994;Distribuição Nacional;3.469;3.469;32.011,56;32.011,56;1;1;1;1;;
2011;Raiz Distribuidora;11792;Distribuição Nacional;171.463;171.463;516.760,05;516.760,05;14;14;3;3;;
2011;Schürmann;7132;Distribuição Nacional;9.821;9.821;101.249,85;101.249,85;1;1;1;1;;
2011;Serendip;4626;Distribuição Nacional;110.142;0;1.161.600,33;0,00;9;0;5;0;;
2011;Sony;84;Distribuição Internacional;19.652.349;46.759;194.832.720,10;400.408,84;43;10;17;1;;
2011;Sony/Downtown;84/4904;Codistribuição Internacional-Nacional;65;65;161,00;161,00;1;1;0;0;;
2011;Sony/RioFilme;84/105;Codistribuição Internacional-Nacional;4.783;4.783;14.447,50;14.447,50;1;1;0;0;;
2011;Tucumán;16132;Distribuição Nacional;1.172;0;12.561,15;0,00;1;0;1;0;;
2011;TVA2 Produções;14408;Distribuição Nacional;251;251;1.745,05;1.745,05;1;1;1;1;;
