Listagem dos Agentes Econômicos Registrados na Ancine;;;;;;;;;
;;;;;;;;;
Registro Ancine;CNPJ;Razão Social;Atividade Econômica Principal;Natureza Jurídica;Munícipio;UF;Data do Primeiro Registro na Ancine;Data de Abertura da Empresa;Agente Econômico Brasileiro Independente
47626;11.808.220/0001-62;3AN PRODUÕES LTDA-ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;28/01/2021;30/03/2010;SIM
26898;19.133.239/0001-68;3C FILMES EIRELI;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SÃO PAULO;SP;27/05/2014;24/10/2013;SIM
2159;83.647.040/0001-57;3D PRODUCOES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;BELÉM;PA;08/12/2004;04/10/1993;SIM
49672;08.974.128/0001-68;3D TELECOMUNICAÇÕES LTDA;Provedores de acesso às redes de comunicações;Sociedade Empresária Limitada;SÃO LUDGERO;SC;30/09/2021;08/08/2007;NÃO
17647;12.362.022/0001-80;3DZEZ - EDIÇÃO DE FILMES LTDA ME;Produção de filmes para publicidade;Sociedade Empresária Limitada;BRASÍLIA;DF;01/09/2010;04/08/2010;SIM
41441;31.362.816/0001-99;3EM3 PRODUCOES AUDIOVISUAIS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;25/10/2018;28/08/2018;SIM
21323;15.031.868/0001-26;3FG.TV PRODUÇÕES LTDA - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;17/04/2012;27/12/2011;SIM
44529;34.884.153/0001-60;3K FILMS PRODUÇÕES CINEMATOGRÁFICAS LTDA;Produção de filmes para publicidade;Sociedade Empresária Limitada;SÃO PAULO;SP;11/11/2019;16/09/2019;SIM
19026;13.223.419/0001-54;3K MONTANA PRODUÇÃO AUDIOVISUAL LTDA - EPP;Produção de filmes para publicidade;Sociedade Empresária Limitada;SÃO PAULO;SP;08/06/2011;28/02/2011;SIM
38150;22.730.559/0001-00;3M CAMISARIA ARACAJU EIRELI ME;Comércio varejista de artigos do vestuário e acessórios;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);ARACAJU;SE;07/11/2017;23/06/2015;NÃO
