Listagem dos Agentes Econômicos Registrados na Ancine;;;;;;;;;
;;;;;;;;;
Registro Ancine;CNPJ;Razão Social;Atividade Econômica Principal;Natureza Jurídica;Munícipio;UF;Data do Primeiro Registro na Ancine;Data de Abertura da Empresa;Agente Econômico Brasileiro Independente
33037;23.014.328/0001-62;SERENO FILMES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;19/05/2016;06/08/2015;SIM
16268;05.138.493/0001-44;SERF COMUNICAÇÃO LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;CURITIBA;PR;03/12/2009;24/06/2002;SIM
24782;17.339.249/0001-29;SERGIO ANTONIO KLEIN CALDAS - ME;Estúdios cinematográficos;Empresário (Individual) ;CANOAS;RS;02/08/2013;28/11/2012;SIM
20971;00.815.138/0001-49;SERGIO ASSIS PRODUÇÕES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Simples Limitada;RIO DE JANEIRO;RJ;27/02/2012;20/09/1995;SIM
43956;21.681.237/0001-55;SÉRGIO AUGUSTO ALVES MARIANO;Atividades de produção de fotografias, exceto aérea e submarina;Empresário (Individual) ;RIO DE JANEIRO;RJ;06/09/2019;15/01/2015;SIM
29248;17.495.362/0001-01;SÉRGIO CARNEIRO DA SILVA;Ensino de arte e cultura não especificado anteriormente;Empresário (Individual) ;SÃO JOSÉ DOS CAMPOS;SP;11/03/2015;30/01/2013;SIM
43509;00.352.638/0001-91;SÉRGIO EDUARDO HOLANDA MACHADO ME;Programadoras;Empresário (Individual) ;QUIXERAMOBIM;CE;17/07/2019;19/12/1994;NÃO
2590;04.302.591/0001-02;SERGIO J. DE ANDRADE;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;MANAUS;AM;07/07/2003;21/02/2001;SIM
24544;91.642.561/0001-40;SÉRGIO JAEGER JUNIOR ME;Produção de filmes para publicidade;Empresário (Individual) ;PORTO ALEGRE;RS;03/07/2013;27/04/1987;SIM
44519;35.317.667/0001-05;SERGIO JOSE MEURER 48413852900;Outras atividades de ensino não especificadas anteriormente;Empresário (Individual) ;SÃO PAULO;SP;08/11/2019;25/10/2019;SIM
38626;27.405.777/0001-92;SERGIO MAURÍCIO ALVES TOSTA 08309275730;Filmagem de festas e eventos;Empresário (Individual) ;BRASÍLIA;DF;19/01/2018;28/03/2017;SIM
14789;68.734.029/0001-30;SERGIO MAURILIO DA SILVA GONCALVES & CIA LTDA;Atividades de exibição cinematográfica;Sociedade Empresária Limitada;BAGÉ;RS;23/12/2008;25/01/1993;SIM
39841;30.258.011/0001-37;SERGIO MENDES HELENO 46642595149;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;CAMPO GRANDE;MS;17/05/2018;20/04/2018;SIM
25045;18.475.603/0001-05;SÉRGIO RICARDO CAMPOS PEREIRA 853073354-15;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;NATAL;RN;29/08/2013;12/07/2013;NÃO
46250;13.478.088/0001-01;SERGIO ROBERTO DA ROSA PICASSO;Produção de filmes para publicidade;Empresário (Individual) ;PORTO ALEGRE;RS;03/08/2020;06/04/2011;SIM
50300;35.373.494/0001-34;SERGIO ROCHA DE FREITAS;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;SÃO PAULO;SP;18/01/2022;31/10/2019;SIM
44749;34.059.005/0001-01;SERRA NEGRA FILMES EIRELI;Artes cênicas, espetáculos e atividades complementares não especificados anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);RIO DE JANEIRO;RJ;10/12/2019;28/06/2019;SIM
23440;07.473.254/0001-76;SERRANO FOTOS E PRODUCOES LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;PRESIDENTE PRUDENTE;SP;11/03/2013;20/06/2005;SIM
24330;17.804.191/0001-47;SERRAZUL PRODUÇÕES LTDA ME;Programadoras;Sociedade Empresária Limitada;SÃO JOÃO DA BOA VISTA;SP;10/06/2013;22/03/2013;NÃO
4066;67.414.508/0001-07;SERRES PRODUCOES EM CINE -VT EIRELI;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SÃO PAULO;SP;18/05/2005;16/01/1992;SIM
1504;73.569.485/0001-02;SERTANEJA DE CINEMA LTDA-ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Simples Limitada;RIO DE JANEIRO;RJ;03/09/2003;21/10/1993;SIM
41422;31.737.007/0001-14;SERTANIA PRODUÇÕES E CONSULTORIA LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Simples Limitada;BELO HORIZONTE;MG;22/10/2018;09/10/2018;SIM
42577;22.855.801/0001-71;SERTÃO & MAR COMUNICAÇÕES LTDA;Programadoras;Sociedade Empresária Limitada;MONTES CLAROS;MG;27/03/2019;15/07/2015;NÃO
12657;08.752.098/0001-45;SERTÃO PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;GOIÂNIA;GO;09/07/2007;12/03/2007;SIM
4762;00.330.845/0001-45;SERV BRASILEIRO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS;Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;Serviço Social Autônomo;BRASÍLIA;DF;16/09/2005;24/08/1972;NÃO
44182;12.517.413/0001-27;SERVICO DE APOIO AS M E P EMPRESAS DE ALAGOAS-SEBRAE-AL;Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;Serviço Social Autônomo;MACEIÓ;AL;01/10/2019;03/04/1981;NÃO
2295;03.667.884/0001-20;SERVICO SOCIAL DO COMERCIO - SESC - ADMINISTRACAO REGIONAL NO ESTADO DE SAO PAULO;Serviços de assistência social sem alojamento;Serviço Social Autônomo;SÃO PAULO;SP;12/02/2010;13/09/1946;NÃO
16537;33.469.164/0001-11;SERVIÇO SOCIAL DO COMERCIO SESC;Serviços de assistência social sem alojamento;Serviço Social Autônomo;RIO DE JANEIRO;RJ;05/02/2010;15/07/1968;NÃO
28095;03.560.440/0001-91;SESC ADMINISTRAÇÃO REGIONAL NO ESTADO DO MATO GROSSO DO SUL;Serviços de assistência social sem alojamento;Serviço Social Autônomo;CAMPO GRANDE;MS;07/11/2014;14/12/1999;SIM
37635;08.255.651/0001-34;SESSÃO PREMIERE MÍDIA E COMUNICAÇÃO LTDA.;Agências de publicidade;Sociedade Empresária Limitada;SÃO PAULO;SP;05/09/2017;11/08/2006;SIM
40111;19.685.402/0001-03;SET 6 STUDIO EIRELI;Instalação e manutenção elétrica;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);MANAUS;AM;11/06/2018;07/02/2014;SIM
43077;33.298.131/0001-56;SET CORDAS PRODUÇÃO CINEMATOGRÁFICA E MUSICAL LTDA;Produção de filmes para publicidade;Sociedade Empresária Limitada;UBERLÂNDIA;MG;31/05/2019;09/04/2019;SIM
41511;31.540.840/0001-70;SET EMPREENDIMENTOS CINEMATOGRAFICOS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;NATAL;RN;30/10/2018;18/09/2018;SIM
27351;20.316.187/0001-44;SET FILMES & PRODUCOES EIRELI - ME;Produção de filmes para publicidade;Sociedade Empresária Limitada;MACAPÁ;AP;31/07/2014;26/05/2014;SIM
28529;20.702.111/0001-57;SET FILMES LTDA - ME;Produção de filmes para publicidade;Sociedade Empresária Limitada;SÃO LUÍS;MA;19/12/2014;24/07/2014;SIM
15001;03.844.448/0001-80;SET PRODUÇÕES ARTÍSTICAS LTDA ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Simples Limitada;RIO DE JANEIRO;RJ;12/02/2009;29/05/2000;SIM
1077;02.924.831/0001-85;SET PRODUÇÕES E EVENTOS LTDA - EPP;Comércio varejista de artigos fotográficos e para filmagem;Sociedade Empresária Limitada;BRASÍLIA;DF;24/02/2003;12/01/1999;SIM
4653;02.386.149/0001-86;SET PRODUTORA PRODUÇÕES E EVENTOS LTDA ME;Produção de filmes para publicidade;Sociedade Empresária Limitada;GOIÂNIA;GO;17/08/2005;15/10/1997;SIM
22277;15.489.382/0001-36;SET VIDEO PRODUÇÕES LTDA;Produção de filmes para publicidade;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);CAMPO GRANDE;MS;31/08/2012;08/05/2012;SIM
1867;03.780.121/0001-91;SET_5 PRODUTORA LTDA.;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;08/04/2004;20/04/2000;SIM
16761;10.992.843/0001-75;SETA PRODUÇÕES LTDA;Artes cênicas, espetáculos e atividades complementares não especificados anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;25/03/2010;07/07/2009;SIM
34916;21.564.533/0001-76;SETCENAS - JORNALISMO E COMÉRCIO LTDA;Portais, provedores de conteúdo e outros serviços de informação na internet;Sociedade Empresária Limitada;NATAL;RN;20/12/2016;11/12/2014;SIM
1019;04.736.316/0001-05;SETCOM - SET DE COMUNICAÇÃO LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;ITAJAÍ;SC;27/01/2003;24/10/2001;SIM
3187;02.396.878/0001-13;SETDOC DIGITALIZAÇÃO E PRODUÇÃO EIRELI - ME;Serviços de microfilmagem;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);CRICIÚMA;SC;16/02/2005;03/02/1998;SIM
33640;11.390.604/0001-08;SETE ARTES PRODUÇÕES ARTISTICAS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;14/07/2016;10/12/2009;SIM
37173;27.484.293/0001-86;SETE LEGUAS FILMES LTDA - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;31/07/2017;05/04/2017;SIM
49914;41.842.401/0001-76;SETE MAIS UM ENTRETENIMENTO LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;05/11/2021;06/05/2021;SIM
49411;20.046.790/0001-53;SETE MARES FILMES LTDA - ME;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;CAMPINAS;SP;31/08/2021;08/04/2014;SIM
16393;10.331.623/0001-09;SETE PERSONAGENS PRODUÇÕES CULTURAIS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Simples Limitada;RIO DE JANEIRO;RJ;06/01/2010;01/09/2008;SIM
27523;14.310.257/0001-54;SETE QUATRO COMUNICAÇÃO E PUBLICIDADE LTDA;Agências de publicidade;Sociedade Empresária Limitada;SALVADOR;BA;21/08/2014;31/08/2011;SIM
49127;22.685.790/0001-29;SETE VIDAS PRODUÇÕES EIRELI;Atividades de gravação de som e de edição de música;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SÃO PAULO;SP;28/07/2021;19/06/2015;SIM
6394;07.718.924/0001-77;SETEMBRO PRODUÇÕES CULTURAIS LTDA - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;CURITIBA;PR;08/09/2006;31/10/2005;SIM
25090;11.613.012/0001-08;SETESETE COMUNICAÇÃO E IMAGEM LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;04/09/2013;19/02/2010;SIM
28717;20.691.017/0001-40;SETFRAME VIDEO E COMUNICAÇÃO LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;FAZENDA RIO GRANDE;PR;15/01/2015;23/05/2014;SIM
42147;31.909.791/0001-09;SETTA PRODUÇÕES EIRELI;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);BOCAINA DE MINAS;MG;05/02/2019;31/10/2018;SIM
29244;18.280.888/0001-29;SETUP FILMES LTDA - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;GOIÂNIA;GO;10/03/2015;11/06/2013;SIM
46535;36.825.458/0001-27;SETUP PRODUCOES AUDIOVISUAIS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SANTO ANTÔNIO DE GOIÁS;GO;08/09/2020;31/03/2020;SIM
23121;17.192.316/0001-25;SEUFILME PRODUCOES AUDIOVISUAIS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;22/01/2013;14/11/2012;SIM
41606;31.060.318/0001-91;SEVEN OFICINA CRIATIVA PRODUÇÕES LTDA.;Produção de filmes para publicidade;Sociedade Empresária Limitada;ARACAJU;SE;13/11/2018;30/07/2018;NÃO
36438;09.467.272/0001-70;SEVEN SAILS COMUNICAÇÃO E DESENVOLVIMENTO LTDA;Desenvolvimento de programas de computador sob encomenda;Sociedade Simples Limitada;LONDRINA;PR;19/05/2017;02/04/2008;SIM
47391;28.057.418/0001-54;SEVEN TECH EIRELI;Manutenção de redes de distribuição de energia elétrica;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);LIMOEIRO DO NORTE;CE;10/12/2020;28/06/2017;NÃO
49740;11.419.895/0001-10;SEVENX PRODUÇÕES ARTÍSTICAS LTDA;Artes cênicas, espetáculos e atividades complementares não especificados anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;08/10/2021;11/12/2009;SIM
49255;41.506.313/0001-01;SEVERA ENTERTAINMENT MARKETING DIRETO LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Simples Limitada;RIBEIRÃO PRETO;SP;11/08/2021;08/04/2021;SIM
2269;05.097.392/0001-72;SEVERINO JOAQUIM DOS SANTOS - ME;Atividades de exibição cinematográfica;Empresário (Individual) ;SÃO PAULO;SP;11/08/2004;03/06/2002;NÃO
50655;20.386.858/0001-43;SEVERINO RAMOS DA SILVA 24563269468;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;PAULISTA;PE;04/03/2022;04/06/2014;NÃO
38953;29.128.640/0001-63;SEVERO FILM & PRODUCTION LTDA ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;28/02/2018;23/11/2017;SIM
26256;19.369.077/0001-61;SF PRODUTORA E EDITORA LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;PAULÍNIA;SP;27/02/2014;05/12/2013;SIM
35073;09.359.069/0001-80;SFOX EMPREENDIMENTOS DE INFORMATICA EIRELI - EPP;Serviços de comunicação multimídia - SCM;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);IGARAPÉ;MG;10/01/2017;11/02/2008;NÃO
33618;11.326.389/0001-86;SG FILMES LTDA - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;12/07/2016;16/11/2009;SIM
49566;14.858.483/0001-74;SG MENEZES FOTOGRAFIA E CINEMA;Atividades de produção de fotografias, exceto aérea e submarina;Empresário (Individual) ;RIO DE JANEIRO;RJ;20/09/2021;10/01/2012;SIM
50035;32.247.859/0001-96;SG PRODUÇÕES ARTÍSTICAS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;GOIÂNIA;GO;25/11/2021;13/12/2018;SIM
38044;26.062.738/0001-77;SGANZA PRODUÇÕES CINEMATOGRÁFICOS;Produção de filmes para publicidade;Sociedade Empresária Limitada;SÃO PAULO;SP;26/10/2017;30/08/2016;SIM
30514;22.529.149/0001-03;SHANGAI FILMES LTDA EPP;Produção de filmes para publicidade;Sociedade Empresária Limitada;SÃO PAULO;SP;21/07/2015;26/05/2015;SIM
48336;32.149.788/0001-99;SHARK ASSESSORIA EM PROJETOS CULTURAIS LTDA;Outras atividades profissionais, científicas e técnicas não especificadas anteriormente;Sociedade Simples Limitada;SÃO PAULO;SP;06/05/2021;30/11/2018;SIM
47680;40.448.952/0001-97;SHARKCINE PIRAQUARA LTDA.;Atividades de exibição cinematográfica;Sociedade Empresária Limitada;PIRAQUARA;PR;05/02/2021;18/01/2021;SIM
43156;32.273.586/0001-54;SHARON LUANY BAPTISTA DE MELO 10343185431;Filmagem de festas e eventos;Empresário (Individual) ;RECIFE;PE;10/06/2019;18/12/2018;SIM
45226;27.240.216/0001-80;SHAY DE AZEVEDO PELED 09808759947;Filmagem de festas e eventos;Empresário (Individual) ;SÃO PAULO;SP;02/03/2020;07/03/2017;SIM
42643;30.784.972/0001-85;SHAYNNA JACQUES PIDORI 27278518806;Ensino de arte e cultura não especificado anteriormente;Empresário (Individual) ;SÃO PAULO;SP;02/04/2019;26/06/2018;SIM
29092;09.035.645/0001-34;SHEKINAH PRODUCÕES LTDA-ME;Produção de filmes para publicidade;Sociedade Empresária Limitada;PARAUAPEBAS;PA;25/02/2015;05/09/2007;SIM
15283;08.882.084/0001-46;SHERINGTON MENACIR DE OLIVEIRA BIRCK;Filmagem de festas e eventos;Empresário (Individual) ;VILA VELHA;ES;02/04/2009;04/06/2007;SIM
44903;17.274.368/0001-40;SHEURY MANUELA SILVA NEVES EIRELI;Estúdios cinematográficos;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SÃO LUÍS;MA;08/01/2020;19/09/2012;SIM
27653;14.387.272/0001-09;SHINE'S PRODUCTION LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;08/09/2014;30/09/2011;SIM
39152;09.350.545/0001-00;SHOLLUX SERVIÇOS CULTURAIS LTDA -ME.;Ensino de arte e cultura não especificado anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;20/03/2018;03/01/2008;NÃO
45253;13.909.633/0001-69;SHOOTING FILMES LTDA;Produção de filmes para publicidade;Sociedade Empresária Limitada;SÃO PAULO;SP;04/03/2020;22/06/2011;SIM
44694;24.583.557/0001-60;SHOPPER COMERCIO ALIMENTICIO LTDA;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Sociedade Empresária Limitada;SÃO PAULO;SP;02/12/2019;12/04/2016;NÃO
19238;03.326.640/0001-84;SHOPPING CENTER COSTA DOURADA S/A;Aluguel de imóveis próprios;Sociedade Anônima Fechada;CABO DE SANTO AGOSTINHO;PE;12/07/2011;26/07/1999;NÃO
46604;24.259.260/0001-44;SHORELINE PRODUÇÕES AUDIVISUAIS LTDA - ME;Filmagem de festas e eventos;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;16/09/2020;22/02/2016;SIM
41564;29.094.482/0001-78;SHORTFILMS EIRELI - ME;Produção de filmes para publicidade;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SÃO SEBASTIÃO;SP;06/11/2018;17/11/2017;SIM
3024;07.048.076/0001-36;SHORTMAN PRODUCOES CINEMATOGRAFICAS LTDA;Estúdios cinematográficos;Sociedade Empresária Limitada;SÃO PAULO;SP;19/01/2005;22/09/2004;SIM
1429;04.338.652/0001-91;SHORTO & CO. COMERCIO DE PRODUTOS DE HIGIENE PESSOAL E VESTUARIO EIRELI;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SÃO PAULO;SP;31/07/2003;14/03/2001;SIM
37900;27.425.360/0001-91;SHOW PREMIUM PRODUÇÕES E ENTRETENIMENTO EIRELI - ME;Serviços de organização de feiras, congressos, exposições e festas;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SÃO PAULO;SP;09/10/2017;30/03/2017;SIM
41853;22.826.984/0001-05;SHOWFEST PRODUÇÕES EIRELI;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);BARRA MANSA;RJ;18/12/2018;10/07/2015;SIM
26482;18.002.603/0001-98;SHOWLIVRE.COM PRODUÇÕES S.A.;Atividades de gravação de som e de edição de música;Sociedade Anônima Fechada;SÃO PAULO;SP;31/03/2014;25/04/2013;SIM
39681;28.078.587/0001-70;SI2001 BRASIL SERVIÇOS DE INFORMATICA LTDA;Consultoria em tecnologia da informação;Sociedade Empresária Limitada;FORTALEZA;CE;04/05/2018;30/06/2017;NÃO
37399;08.150.891/0001-74;SIAN MUSIC EVENTOS LTDA;Comércio atacadista de filmes, CDs, DVDs, fitas e discos;Sociedade Empresária Limitada;CURITIBA;PR;18/08/2017;04/07/2006;SIM
38693;29.423.055/0001-96;SIARA FILMES PRODUCOES & ENTRETENIMENTO LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;BATURITÉ;CE;29/01/2018;12/01/2018;SIM
36461;11.496.603/0001-42;SIC ­ SISTEMA INTEGRADO DE COMUNICACAO LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO LUÍS;MA;22/05/2017;22/01/2010;SIM
40526;29.893.776/0001-60;SIC MAIS PROGRAMADORA LTDA;Programadoras;Sociedade Empresária Limitada;IRATI;PR;13/07/2018;09/03/2018;NÃO
49475;15.684.174/0001-98;SICOM SISTEMA INTEGRADO DE COMUNICAÇÃO E MULTIMÍDIA DO LESTE FLUMINENSE LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;MARICÁ;RJ;09/09/2021;25/04/2012;SIM
37559;01.880.536/0001-01;SICOM-SISTEMA DE COMUNICAÇÕES DE MINAS GERAIS LTDA;Atividades de televisão aberta;Sociedade Empresária Limitada;UBERABA;MG;29/08/2017;27/05/1997;NÃO
17706;11.421.308/0001-27;SIDARTHA PRODUCOES CINEMATOGRAFICAS EIRELI;Atividades de exibição cinematográfica;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);CATANDUVA;SP;17/09/2010;21/12/2009;NÃO
58;66.040.056/0001-88;SIDE CINEMA LTDA.;Produção de filmes para publicidade;Sociedade Empresária Limitada;SÃO PAULO;SP;04/06/2002;06/06/1991;SIM
41109;20.514.208/0001-36;SIDMAR NIELSEN 05017543937;Filmagem de festas e eventos;Empresário (Individual) ;MARINGÁ;PR;14/09/2018;27/06/2014;NÃO
42570;32.838.160/0001-09;SIDNEI MARCOS SILL;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;SÃO PAULO;SP;26/03/2019;20/02/2019;SIM
35753;07.756.245/0001-92;SIDNEY GENNARO FILMES PROMOÇÕES LTDA.;Outras atividades de publicidade não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;09/03/2017;22/07/2005;SIM
37481;27.646.770/0001-62;SIDNEY PEREIRA DA SILVA 08757526672;Filmagem de festas e eventos;Empresário (Individual) ;BELO HORIZONTE;MG;23/08/2017;03/05/2017;SIM
22479;07.178.326/0001-52;SIDNEY PRODUCOES EIRELI - EPP;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);BELÉM;PA;27/09/2012;02/12/2004;SIM
23033;17.054.936/0001-06;SIDY S TV LTDA - EPP;Programadoras;Sociedade Empresária Limitada;CURRAIS NOVOS;RN;07/01/2013;17/10/2012;NÃO
1115;35.284.967/0001-27;SIDY'S COMUNICACOES LTDA;Operadoras de televisão por assinatura por cabo;Sociedade Empresária Limitada;CURRAIS NOVOS;RN;12/03/2003;05/10/1990;NÃO
18192;12.957.539/0001-12;SIGLA - ESTÚDIOS DE ANIMAÇÃO E CINEMA LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;17/01/2011;16/11/2010;SIM
39787;28.942.914/0001-90;SIGLA COMUNICAÇÃO E PRODUÇÃO CINEMATOGRÁFICA;Estúdios cinematográficos;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);IMPERATRIZ;MA;11/05/2018;26/10/2017;SIM
23181;17.026.874/0001-10;SIGLAVIVA COMUNICACAO E DESIGN EIRELI-ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);BRASÍLIA;DF;01/02/2013;17/10/2012;SIM
16919;11.304.048/0001-00;SIGMA 3 COMUNICACAO LTDA;Agências de publicidade;Sociedade Empresária Limitada;DOIS VIZINHOS;PR;29/04/2010;05/11/2009;SIM
38226;03.726.950/0001-96;SIGNUS SERVICOS CULTURAIS S/S LTDA - ME;Serviços de organização de feiras, congressos, exposições e festas;Sociedade Simples Limitada;SÃO PAULO;SP;16/11/2017;10/01/2000;SIM
47769;24.503.431/0001-39;SILAS ISMAEL GIMENEZ MIOTTI 02807952119;Atividades de produção de fotografias aéreas e submarinas;Empresário (Individual) ;COXIM;MS;19/02/2021;01/04/2016;NÃO
24456;07.547.114/0001-03;SILENCE PRODUÇÕES EIRELI - ME;Produção musical;Empresa Individual de Responsabilidade Limitada (de Natureza Simples);RIO DE JANEIRO;RJ;25/06/2013;09/05/2003;SIM
46360;28.199.343/0001-46;SILMAR ROSA GARCIA EIRELI ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);SÃO PAULO;SP;18/08/2020;17/07/2017;SIM
48694;14.548.917/0001-30;SILVANA MACHADO VALENCA 02855270537;Serviços de organização de feiras, congressos, exposições e festas;Empresário (Individual) ;SÃO PAULO;SP;18/06/2021;31/10/2011;NÃO
50469;32.104.773/0001-04;SILVANA MOURA DE ASSIS;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;SALVADOR;BA;08/02/2022;26/11/2018;SIM
25769;07.035.179/0001-61;SILVANA NUTI STEFANUTO;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Empresário (Individual) ;SÃO PAULO;SP;09/12/2013;31/08/2004;SIM
38574;13.756.019/0001-04;SILVANA RODRIGUES SANDER FOTOGRAFIA E FILMES;Atividades de produção de fotografias, exceto aérea e submarina;Empresário (Individual) ;TABOÃO DA SERRA;SP;11/01/2018;06/06/2011;NÃO
49715;07.672.623/0001-50;SILVEIRA & GONCALVES COMERCIO DE MATERIAIS DE INFORMATICA LTDA;Provedores de acesso às redes de comunicações;Sociedade Empresária Limitada;OURO PRETO DO OESTE;RO;06/10/2021;09/11/2005;NÃO
