Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros 2019;;;;;;;;;;;;
;;;;;;;;;;;;
Data de Solicitação;Tipo de Ofício;"Número de Técnicos/
Artistas Estrangeiros";Título da Obra;Tipo de Obra;Período Produção;Empresa Brasileira;UF;Empresa Estrangeira;País;Nacionalidade da Produção;Local de Filmagem (UF);""""
20/03/2019;Comunicação filmagem estrangeira;3;Gyakuten-jinsei;Documentário;10/04/2019 a 23/04/2019;WASABI JB COMUNICAÇÃO;RJ;"""Nippon Hoso Kyokai(NHK)""";Japão;Estrangeira;"""Rio de Janeiro (RJ), São Paulo (SP), Pindamonhangaba (SP)""";
22/03/2019;Comunicação filmagem estrangeira;2;In Degrees Music video;Obra Publicitária;26/03/2019 a 05/04/2019;Ocean Produção de Filmes Ltda;SC;"""FRIEND PRODUCTIONS""";Reino Unido;Estrangeira;"""São Paulo (SP)""";
22/03/2019;Comunicação filmagem estrangeira;1;In Degrees Music video;Obra Publicitária;26/03/2019 a 05/04/2019;Ocean Produção de Filmes Ltda;SC;"""FRIEND PRODUCTIONS""";Reino Unido;Estrangeira;"""São Paulo (SP)""";
22/03/2019;Comunicação filmagem estrangeira;2;Rolex Awards Enterprise 2019;Documentário;24/04/2019 a 02/05/2019;Alfixit Produções Culturais e Artísticas Ltda;SP;"""Proudfoot Limited""";Reino Unido;Estrangeira;"""Manaus (AM), Carauari (AM)""";
25/03/2019;Comunicação filmagem estrangeira;6;Guerra a Guerra;Outro;03/03/2019 a 22/03/2019;Breno Augusto Seabra Guimarães;RJ;"""Isle Empire Pictures LLC""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
26/03/2019;Comunicação filmagem estrangeira;16;Showing the world;Outro;16/04/2019 a 25/04/2019;Connection Filmes e Produções Artísticas LTDA;RJ;"""Manmeet Film Productions""";Índia;Estrangeira;"""Rio de Janeiro (RJ)""";
26/03/2019;Comunicação filmagem estrangeira;5;Warka Equity e Private Jet;Obra Publicitária;01/04/2019 a 16/04/2019;JKR Produções Artísticas Ltda;RJ;"""Film Produkcja""";Polônia;Estrangeira;"""Rio de Janeiro (RJ)""";
27/03/2019;Comunicação filmagem estrangeira;2;JAPONESES EM LUGARES INOSPITOS - PARTE II;Documentário;14/04/2019 a 03/05/2019;Xes Projetos Visuais Ltda;SP;"""Television Field Co.""";Japão;Estrangeira;"""São Paulo (SP), Manaus (AM), Novo Airão (AM)""";
27/03/2019;Comunicação filmagem estrangeira;5;Le Voyage de Lucie au Brésil;Documentário;13/04/2019 a 21/04/2019;IGOR DE MIRANDA OLSZOWSKI - ME;RJ;"""Profilms""";França;Estrangeira;"""Rio de Janeiro (RJ), Paraty (RJ), Búzios (RJ), Foz do Iguaçu (PR)""";
02/04/2019;Comunicação filmagem estrangeira;4;HARMONICA;Obra Publicitária;01/04/2019 a 16/04/2019;CINNERGIA PRODUÇÕES LTDA-ME;SC;"""LATERNA MAGICA FILMPRODUKTION GmbH""";Alemanha;Estrangeira;"""São Paulo (SP)""";
03/04/2019;Comunicação filmagem estrangeira;1;El Barrio;Documentário;18/01/2019 a 28/01/2019;Viva Filmes Ltda;RJ;"""Factory Films""";Reino Unido;Estrangeira;"""Rio de Janeiro (RJ), São Paulo (SP)""";
03/04/2019;Comunicação filmagem estrangeira;3;El Barrio;Documentário;18/01/2019 a 28/01/2019;Viva Filmes Ltda;RJ;"""Factory Films""";Reino Unido;Estrangeira;"""Rio de Janeiro (RJ), São Paulo (SP)""";
03/04/2019;Comunicação filmagem estrangeira;1;Media Monks SP;Documentário;06/04/2019 a 09/04/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""Figura Media LLC""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
03/04/2019;Comunicação filmagem estrangeira;1;Media Monks SP;Documentário;06/04/2019 a 09/04/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""Figura Media LLC""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
03/04/2019;Comunicação filmagem estrangeira;1;Media Monks SP;Documentário;06/04/2019 a 09/04/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""Figura Media LLC""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
03/04/2019;Comunicação filmagem estrangeira;2;Media Monks SP;Documentário;06/04/2019 a 09/04/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""Figura Media LLC""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
03/04/2019;Comunicação filmagem estrangeira;3;Media Monks SP;Documentário;06/04/2019 a 09/04/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""Figura Media LLC""";Estados Unidos;Estrangeira;"""São Paulo (SP)""";
04/04/2019;Comunicação filmagem estrangeira;5;Culture Exchange;Documentário;09/05/2019 a 16/05/2019;Viva Filmes Ltda;RJ;"""Talpa Producties BV""";Holanda;Estrangeira;"""Manaus (AM), Fortaleza (CE)""";
04/04/2019;Comunicação filmagem estrangeira;1;New Holland Brazil;Institucional;14/04/2019 a 20/04/2019;UTOPIA FILMES PRODUÇÃO ARTÍSTICA LTDA;RJ;"""CY&N""";Estados Unidos;Estrangeira;"""Porto Alegre (RS), São Gabriel (RS)""";
04/04/2019;Comunicação filmagem estrangeira;1;New Holland Brazil;Institucional;14/04/2019 a 20/04/2019;UTOPIA FILMES PRODUÇÃO ARTÍSTICA LTDA;RJ;"""CY&N""";Estados Unidos;Estrangeira;"""Porto Alegre (RS), São Gabriel (RS)""";
04/04/2019;Comunicação filmagem estrangeira;4;Wix Skateball Brasil;Outro;12/04/2019 a 16/04/2019;BPS PRODUÇÕES E SERVIÇOS EIRELI;RJ;"""FIGURA MEDIA LLC""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
04/04/2019;Comunicação filmagem estrangeira;1;Wix Skateball Brasil;Outro;12/04/2019 a 16/04/2019;BPS Produções e Serviços Eireli;RJ;"""FIGURA MEDIA LLC""";Estados Unidos;Estrangeira;"""Rio de Janeiro (RJ)""";
05/04/2019;Comunicação filmagem estrangeira;3;No Go Areas;Documentário;23/04/2019 a 01/05/2019;N S Jayanetti Produções e Eventos;RJ;"""MAXIMUS FILM GmbH""";Alemanha;Estrangeira;"""Rio de Janeiro (RJ)""";
05/04/2019;Comunicação filmagem estrangeira;18;The Charlotte Show;Outro;23/04/2019 a 30/04/2019;Viva Filmes Ltda;RJ;"""Appeal TV""";Reino Unido;Estrangeira;"""Rio de Janeiro (RJ), Foz do Iguaçu (PR), São Paulo (SP)""";
12/04/2019;Comunicação filmagem estrangeira;1;Jungle Warriors;Outro;01/05/2019 a 13/05/2019;TERRA PURA CRIACAO E CONTEUDO AUDIOVISUAL LTDA;RJ;"""Bright Road Productions""";Estados Unidos;Estrangeira;"""Manaus (AM)""";
