Listagem de Filmes Brasileiros e Estrangeiros Exibidos - 2009 a 2019;;;;;;;;;;
;;;;;;;;;;
Ano de exibição;Título da obra;CPB/ROE;Gênero;País(es) produtor(es) da obra;Nacionalidade da obra;Data de lançamento;Empresa distribuidora;Origem da empresa distribuidora;Público no ano de exibição;Renda (R$) no ano de exibição
2019;Bacurau;B1900232600000;Ficção;França, Brasil;Brasileira;29/08/2019;Vitrine Filmes;Distribuição Nacional;735.191;11.284.729,00
2019;Baronesa;B1700278300000;Documentário;Brasil;Brasileira;14/06/2018;Vitrine Filmes;Distribuição Nacional;152;880
2019;Bate Coração;B1900498800000;Ficção;Brasil;Brasileira;07/11/2019;Downtown;Distribuição Nacional;5.864;94.671,00
2019;Beatriz;B1500711400000;Ficção;Portugal, Brasil;Brasileira;06/06/2019;Anagrama Filmes;Distribuição Nacional;1.217;16.103,00
2019;Benzinho;B1800106900000;Ficção;Brasil, Uruguai;Brasileira;23/08/2018;Vitrine Filmes;Distribuição Nacional;355;2.347,00
2019;Bio;B1700509000000;Ficção;Brasil;Brasileira;04/04/2019;Bretz Filmes;Distribuição Nacional;896;13.374,00
2019;Bixa Travesty;B1800213800000;Documentário;Brasil;Brasileira;21/11/2019;Arteplex;Distribuição Nacional;6.591;43.560,00
2019;Blitz;B1700402100000;Ficção;Brasil;Brasileira;08/11/2018;Pandora Filmes;Distribuição Nacional;253;2.391,00
2019;Boas Intenções;E1900253900000;Ficção;França;Estrangeira;04/07/2019;Pandora Filmes;Distribuição Nacional;6.491;99.950,00
2019;Bohemian Rhapsody;E1800251900000;Ficção;Estados Unidos;Estrangeira;01/11/2018;Fox;Distribuição Internacional;174.442;3.537.075,00
2019;Border;E1900102100000;Ficção;Dinamarca, Suécia;Estrangeira;11/04/2019;Arteplex;Distribuição Nacional;29.347;513.889,00
2019;Borrasca;B1600569700000;Ficção;Brasil;Brasileira;02/05/2019;Fênix Filmes/Tucumán;Distribuição Nacional;309;4.358,00
2019;Brightburn - Filho Das Trevas;E1900119000000;Ficção;Estados Unidos;Estrangeira;23/05/2019;Sony;Distribuição Internacional;77.584;1.162.959,00
2019;Brincando Com Fogo;E1900576100000;Ficção;Estados Unidos;Estrangeira;12/12/2019;Paramount;Distribuição Internacional;310.681;4.080.813,00
2019;Brinquedo Assassino;E1900148500000;Ficção;Estados Unidos;Estrangeira;22/08/2019;Imagem;Distribuição Nacional;270.135;4.006.857,00
2019;Brooklyn Sem Pai Nem Mãe;E1900346600000;Ficção;Estados Unidos;Estrangeira;05/12/2019;Warner;Distribuição Internacional;10.270;234.797,00
2019;Bruna Surfistinha;B1101347100000;Ficção;Brasil;Brasileira;25/02/2011;Imagem/RioFilme;Distribuição Nacional;19;95
2019;Bumblebee;E1800436900000;Ficção;Estados Unidos;Estrangeira;25/12/2018;Paramount;Distribuição Internacional;895.771;12.929.065,00
2019;Cachorros;E1800224400000;Ficção;Chile, França;Estrangeira;05/07/2018;Imovision;Distribuição Nacional;10;56
2019;Cadáver;E1800486200000;Ficção;Estados Unidos;Estrangeira;29/11/2018;Sony;Distribuição Internacional;2.332;23.052,00
2019;Cadê Você, Bernadette?;E1900361500000;Ficção;Estados Unidos;Estrangeira;07/11/2019;Imagem;Distribuição Nacional;28.825;629.229,00
2019;Cafarnaum;E1800469900000;Ficção;Líbano;Estrangeira;17/01/2019;Sony;Distribuição Internacional;56.099;894.546,00
