"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2011""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";"""Data da Aprovação""";"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
45;22/03/2011;2;"""Pop art development shoot""";"""Documentário""";"""27/03/2011 a 02/04/2011""";"""Terra Vermelha Filmes Ltda.""";"""RJ""";"""Raw Television Ltd.""";"""Inglaterra""";"""Estrangeira""";"""RJ"""
46;24/03/2011;3;"""1000 Roofs Programme""";"""Documentário""";"""24/04/2011 a 02/05/2011""";"""Sol Entertainment Ltda.""";"""RJ""";"""Deutsche Welle""";"""Alemanha""";"""Estrangeira""";"""RJ"""
47;25/03/2011;3;"""Movie plus - Wild speed mega max - Rio de Janeiro""";"""Documentário""";"""10/04/2011 a 17/04/2011""";"""Wasabi JB Comunicação Ltda.""";"""RJ""";"""Project Dawn Co., Ltd.""";"""Japão""";"""Estrangeira""";"""RJ"""
48;28/03/2011;3;"""Cities for mobility""";"""Documentário""";"""07/04/2011 a 05/05/2011""";"""Sol Entertainment Ltda.""";"""RJ""";"""Deutsche Welle""";"""Alemanha""";"""Estrangeira""";"""AM/RJ/RS/SC/SP"""
49;30/03/2011;5;"""Bright idea""";"""Publicitária""";"""01/04/2011 a 07/04/2011""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Rebolucion""";"""Argentina""";"""Estrangeira""";"""RJ"""
50;31/03/2011;8;"""O Clube dos cegos bastardos""";"""Ficção""";"""27/06/2011 a 30/12/2011""";"""Urca Filmes Ltda.""";"""RJ""";"""The Hacienda Film Co.""";"""Estados Unidos""";"""Coprodução""";"""RJ"""
51;05/04/2011;2;"""Wild Americas""";"""Documentário""";"""16/04/2011 a 01/05/2011""";"""Bossa Nova Flims Criações e Produções Ltda""";"""SP""";"""NGHT, LLC""";"""Estados Unidos""";"""Estrangeira""";"""PE"""
52;07/04/2011;5;"""Ruutsu Wo Arukou""";"""Documentário""";"""12/05/2011 a 28/05/2011""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""Kyusho Asahi Broadcasting Co., Ltd""";"""Japão""";"""Estrangeira""";"""RJ/SP"""
53;07/04/2011;3;"""Hikari Hisen""";"""Documentário""";"""01/05/2011 a 10/05/2011""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""Brain Center Inc""";"""Japão""";"""Estrangeira""";"""PR/SP"""
54;07/04/2011;2;"""House Hunterns International""";"""Documentário""";"""12/04/2011 a 18/04/2011""";"""Neon Rio Ltda.""";"""RJ""";"""Leopard Films """;"""Estados Unidos""";"""Estrangeira""";"""RJ"""
55;07/04/2011;2;"""Advogada""";"""Publicitária""";"""07/04/2011 a 25/04/2011""";"""Bossa Nova Flims Criações e Produções Ltda""";"""SP""";""" - """;""" - """;"""Brasileira""";"""SP"""
56;08/04/2011;3;"""Imigrantes Alemães em Recife / O Espírita João de Deus / Halterofilismo em SP / O Cirurgião Plástico Ivo Pitanguy""";"""Documentário""";"""06/05/2011 a 17/05/2011""";"""Aura Filme Produções Ltda.""";"""RJ""";"""InfoNetwork GmbH""";"""Alemanha""";"""Estrangeira""";"""GO/ PE/ SP/ RJ"""
57;13/04/2011;2;"""St. Ives Freshest Skin Yet""";"""Publicitária""";"""24/04/2011 a 28/04/2011""";"""Planeta Film Ltda.""";"""SP""";"""Pretty Bird""";"""Estados Unidos""";"""Estrangeira""";"""SP"""
58;15/04/2011;6;"""Demain La Beaute""";"""Programa de TV (reality show)""";"""25/04/2011 a 04/05/2011""";"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""Production Ivision Inc""";"""Canadá""";"""Estrangeira""";"""RJ"""
59;15/04/2011;6;"""Mundo Fascinante de Nakashi Masahiro""";"""Documentário""";"""30/04/2011 a 27/05/2011""";"""Alfixit Produções Culturais e Artísticas Ltda.""";"""SP""";"""Kyodo Television Ltd.""";"""Japão""";"""Estrangeira""";"""AM"""
60;18/04/2011;7;"""Imo Jyouchu""";"""Publicitária""";"""13/05/2011 a 31/05/2011""";"""Urutau Filmes Ltda""";"""SP""";"""Pylon Co., Ltd""";"""Japão""";"""Estrangeira""";"""RJ/ SP"""
61;18/04/2011;6;"""The Samaritan""";"""Ficção""";"""26/04/2011 a 04/05/2011""";"""Hungry Man Rio Produções Ltda.""";"""RJ""";"""2262730 Ontario Inc""";"""Canadá""";"""Estrangeira""";"""RJ"""
62;19/04/2011;4;"""Nhk Hi Vision Special """;"""Documentário""";"""01/05/2011 a 31/05/2011""";"""Town Network Filmagens Ltda.""";"""SP""";"""Temjin Production Co., Ltd""";"""Japão""";"""Estrangeira""";"""MT"""
