Listagem de Complexos de Exibição por Município e UF - 2019;;;;;;;
;;;;;;;
#;UF;Município;População*;Nome Complexo;Grupo ANCINE;Registro Ancine do Complexo;Número de Salas
191;MG;CONTAGEM;663.855;Cineart Shopping Contagem;CINEART;26530;8
192;MG;CONTAGEM;663.855;Cinesercla Big;SERCLA;13923;5
193;MG;CÓRREGO FUNDO;6.337;Josué's Cine Hotel Fazenda Sobradinho;JOSUE'S CINE;31000;1
194;MG;DIVINÓPOLIS;238.230;AFA Cine Ritz Pátio Divinópolis;AFA;34408;5
195;MG;FORMIGA;67.683;Josué´s Cine Formiga;JOSUE'S CINE;15093;2
196;MG;FORMIGA;67.683;Josué's Cine Universitário;JOSUE'S CINE;28343;1
197;MG;GOVERNADOR VALADARES;279.885;Cinesercla GV Shopping;SERCLA;24571;4
198;MG;GUAXUPÉ;51.917;Cine 14 Bis;INDEPENDENTE;6623;1
199;MG;IPATINGA;263.410;Moviecom Vale do Aço;MOVIECOM BOTUCATU;2924;5
200;MG;ITABIRA;120.060;Espaço Cinemax;INDEPENDENTE;6680;2
201;MG;ITAJUBÁ;96.869;Cine Club Itajubá;INDEPENDENTE;19988;1
202;MG;ITAÚNA;93.214;AFA Cine Ritz Itauna;AFA;38005;3
203;MG;ITUIUTABA;104.671;Cinemais Ituiutaba;CINEMAIS;29198;2
204;MG;JUIZ DE FORA;568.873;Cinemais Jardim Norte Shopping;CINEMAIS;33511;6
205;MG;JUIZ DE FORA;568.873;Cinemais Juiz de Fora;CINEMAIS;23841;5
206;MG;JUIZ DE FORA;568.873;Cineminas Juiz de Fora;CINEMINAS;35125;2
207;MG;JUIZ DE FORA;568.873;UCI Kinoplex Independência;UCI RIBEIRO;14657;5
208;MG;LAVRAS;103.773;Cine A Lavras;CINE A;39675;2
209;MG;MANHUAÇU;90.229;Centro Cultural João Bracks;INDEPENDENTE;15295;1
210;MG;MONTES CLAROS;409.341;Cinemais Montes Claros;CINEMAIS;23844;5
211;MG;MONTES CLAROS;409.341;Ibi Cinemas;INDEPENDENTE;19501;4
212;MG;MURIAÉ;108.763;Cine Veredas;INDEPENDENTE;6647;1
213;MG;NOVA SERRANA;102.693;SerraCine;INDEPENDENTE;6653;1
214;MG;OLIVEIRA;41.687;Center Cine Oliveira;INDEPENDENTE;14490;1
215;MG;PAINS;8.283;Josué's Cine Pains;JOSUE'S CINE;34842;1
216;MG;PARACATU;93.158;Mobi Cine Paracatu;MOBICINE;37281;3
217;MG;PASSOS;114.679;Cine Roxy Passos;INDEPENDENTE;6613;1
218;MG;PATOS DE MINAS;152.488;Cinemais Patos de Minas;CINEMAIS;22803;3
219;MG;PATROCÍNIO;90.757;Patrocine;INDEPENDENTE;39596;2
220;MG;PEDRO LEOPOLDO;64.258;Cine Marajá;INDEPENDENTE;17595;1
