Listagem de Filmes Brasileiros e Estrangeiros Lançados - 2009 a 2019;;;;;;;;;;;;
;;;;;;;;;;;;
Ano de Lançamento;Título da obra;CPB/ROE;Gênero;País(es) produtor(es) da obra;Nacionalidade da obra;Data de lançamento;Empresa distribuidora;Origem da empresa distribuidora;Salas no Lançamento;Máximo de Salas Ocupadas;Público acumulado;Renda (R$) acumulada
2009;Praça Saens Peña;B0901002100000;Ficção;Brasil;Brasileira;11/12/2009;Moviemobz/RioFilme;Distribuição Nacional;2;5;5.325;49.112,55
2009;Quanto Dura o Amor?;B0901071800000;Ficção;Brasil;Brasileira;02/10/2009;Pandora Filmes;Distribuição Nacional;7;9;11.015;80.765,42
2009;Salve Geral;B0901072300000;Ficção;Brasil;Brasileira;02/10/2009;Sony/Downtown;Codistribuição Internacional-Nacional;186;186;317.152;2.644.263,52
2009;Se Eu Fosse Você 2;B0800958700000;Ficção;Brasil;Brasileira;02/01/2009;Fox;Distribuição Internacional;315;315;5.787.244;47.624.137,00
2009;Se Nada Mais Der Certo;B0901050700000;Ficção;Brasil;Brasileira;14/08/2009;Imovision;Distribuição Nacional;14;16;12.798;101.489,36
2009;Sem Fio;B0901079200000;Ficção;Brasil;Brasileira;20/11/2009;Panda Filmes;Distribuição Nacional;1;1;248;1.560,00
2009;Senhores do Vento;B0901001900000;Documentário;Brasil;Brasileira;03/04/2009;Youle Filmes;Distribuição Nacional;1;1;19;186
2009;Simonal - Ninguém Sabe o Duro que Dei;B0901010000000;Documentário;Brasil;Brasileira;15/05/2009;Moviemobz/RioFilme;Distribuição Nacional;24;24;71.056;689.003,21
2009;Som e Fúria;B0901108200000;Ficção;Brasil;Brasileira;20/11/2009;O2 Cinema;Distribuição Nacional;1;1;591;3.034,00
2009;Tempos de Paz;B0901022100000;Ficção;Brasil;Brasileira;14/08/2009;Downtown;Distribuição Nacional;51;52;95.792;799.359,00
2009;Titãs - A Vida Até Parece uma Festa;B0800925800000;Documentário;Brasil;Brasileira;16/01/2009;Moviemobz;Distribuição Nacional;12;14;15.211;144.600,42
2009;Topografia de um Desnudo;B0901039400000;Ficção;Brasil;Brasileira;20/11/2009;T.A.O. Produções Artisticas;Distribuição Nacional;1;1;1.488;6.065,00
2009;Um Homem de Moral;B0901010400000;Documentário;Brasil;Brasileira;05/06/2009;Superfilmes;Distribuição Nacional;10;10;6.784;98.555,50
2009;Um Lobisomem na Amazônia;B0500444500000;Ficção;Brasil;Brasileira;06/11/2009;Polifilmes/Topázio Filmes;Distribuição Nacional;8;8;625;5.018,40
2009;Um Romance de Geração;B0901019900000;Ficção;Brasil;Brasileira;07/08/2009;Filmes do Estação;Distribuição Nacional;2;2;793;6.184,50
2009;Vamos Subir, Leão;Sem CPB;Documentário;Brasil;Brasileira;20/03/2009;Canal 3;Distribuição Nacional;ND;ND;ND;ND
2009;Velhas Guardas;B0901006300000;Documentário;Brasil;Brasileira;30/10/2009;Pipa Produções;Distribuição Nacional;1;1;54;75
2009;Verônica;B0800959100000;Ficção;Brasil;Brasileira;06/02/2009;Europa;Distribuição Nacional;129;129;103.905;740.059,02
2009;Waldick, Sempre no meu Coração;B0800852600000;Documentário;Brasil;Brasileira;21/08/2009;Pequena Central;Distribuição Nacional;4;8;3.591;17.076,50
2009;Xuxa em o Mistério de Feiurinha;B0901096800000;Ficção;Brasil;Brasileira;25/12/2009;Playarte;Distribuição Nacional;215;215;1.307.135;8.484.823,94
2009;Zico na Rede;B0901041400000;Documentário;Brasil;Brasileira;03/07/2009;Business Telecom;Distribuição Nacional;2;2;546;2.529,50
2009;À Deriva;B0901015000000;Ficção;Brasil, Estados Unidos;Brasileira;31/07/2009;Universal;Distribuição Internacional;41;41;94.588;870.171,00
2009;É Proibido Fumar;B0901108700000;Ficção;Brasil;Brasileira;04/12/2009;Playarte;Distribuição Nacional;42;42;48.306;411.420,99
2009;2012;E1600546500000;Ficção;Estados Unidos;Estrangeira;13/11/2009;Sony;Distribuição Internacional;684;684;5.279.983;44.728.067,00
2009;3 Macacos;E1402603000000;Ficção;Turquia;Estrangeira;27/02/2009;Imovision;Distribuição Nacional;2;6;13.278;128.998,84
2009;500 Dias com Ela;E1500675000000;Ficção;Estados Unidos;Estrangeira;06/11/2009;Fox;Distribuição Internacional;37;88;245.906;2.305.334,00
2009;9 - A Salvação;E1500819500000;Animação;Estados Unidos;Estrangeira;09/10/2009;Playarte;Distribuição Nacional;138;138;121.648;1.018.796,44
2009;A Era da Estupidez;E1600628800000;Documentário;Inglaterra;Estrangeira;22/09/2009;Moviemobz;Distribuição Nacional;16;16;804;6.082,50
2009;A Era do Gelo 3;E1500380200000;Animação;Estados Unidos;Estrangeira;03/07/2009;Fox;Distribuição Internacional;777;788;9.281.202;81.126.935,00
2009;A Festa do Garfield;E1500869600000;Animação;Estados Unidos;Estrangeira;01/05/2009;Playarte;Distribuição Nacional;110;110;185.391;1.431.846,77
2009;A Garota de Mônaco;E1600594800000;Ficção;França;Estrangeira;17/07/2009;Imovision;Distribuição Nacional;4;5;15.720;139.855,29
2009;A Garota Ideal;E1600544100000;Ficção;Canadá, Estados Unidos;Estrangeira;01/05/2009;Califórnia;Distribuição Nacional;4;6;8.708;71.726,72
2009;A Janela;E1600594900000;Ficção;Argentina;Estrangeira;01/05/2009;Imovision;Distribuição Nacional;12;15;20.124;187.031,81
2009;A Montanha Enfeitiçada;E1500701500000;Ficção;Estados Unidos;Estrangeira;17/04/2009;Sony;Distribuição Internacional;104;114;281.068;2.283.514,00
2009;A Onda;E1402479900000;Ficção;Alemanha;Estrangeira;21/08/2009;Moviemobz;Distribuição Nacional;14;16;47.764;405.723,60
2009;A Pantera Cor de Rosa 2;E1500933600000;Ficção;Estados Unidos;Estrangeira;20/02/2009;Sony;Distribuição Internacional;253;254;586.245;4.653.545,00
2009;A Partida;E1600562500000;Ficção;Japão;Estrangeira;05/06/2009;Paris;Distribuição Nacional;17;17;89.325;816.753,83
2009;A Pedra Mágica;E1600623100000;Ficção;Estados Unidos;Estrangeira;28/08/2009;Warner;Distribuição Internacional;60;60;71.915;532.307,00
2009;A Princesa e o Sapo;E1402794800000;Animação;Estados Unidos;Estrangeira;11/12/2009;Sony;Distribuição Internacional;217;217;1.012.119;7.047.832,75
2009;A Procura de Eric;E1600606400000;Ficção;Inglaterra;Estrangeira;06/11/2009;Califórnia;Distribuição Nacional;9;10;24.366;234.768,23
2009;A Proposta;E1600174800000;Ficção;Estados Unidos;Estrangeira;10/07/2009;Sony;Distribuição Internacional;173;189;1.460.499;13.119.561,50
2009;A Teta Assustada;E1402337300000;Ficção;Peru, Espanha;Estrangeira;21/08/2009;Paris;Distribuição Nacional;18;18;10.180;78.567,10
2009;A Trilha;E1600549100000;Ficção;Estados Unidos;Estrangeira;27/11/2009;Imagem;Distribuição Nacional;30;30;42.981;329.708,59
2009;A Troca;E1402606700000;Ficção;Estados Unidos;Estrangeira;09/01/2009;Universal;Distribuição Internacional;98;101;272.932;2.503.972,00
2009;A Verdade Nua e Crua;E1600021100000;Ficção;Estados Unidos;Estrangeira;18/09/2009;Sony;Distribuição Internacional;168;168;1.474.442;13.200.367,00
2009;A Vida Secreta das Abelhas;E1500920300000;Ficção;Estados Unidos;Estrangeira;07/08/2009;Fox;Distribuição Internacional;9;9;14.367;110.159,00
2009;A Vida Íntima de Pippa Lee;E1600629600000;Ficção;Estados Unidos;Estrangeira;18/12/2009;Playarte;Distribuição Nacional;15;15;16.760;157.924,19
2009;A Órfã;E1402747200000;Ficção;Estados Unidos;Estrangeira;04/09/2009;Warner;Distribuição Internacional;76;76;184.058;1.541.008,00
2009;Abba o Filme;E1600090500000;Documentário;Austrália, Suécia;Estrangeira;30/01/2009;Moviemobz;Distribuição Nacional;4;4;3.488;19.157,82
2009;Abraços Partidos;E1402604700000;Ficção;Espanha;Estrangeira;04/12/2009;Universal;Distribuição Internacional;70;73;258.594;2.551.389,00
2009;Aconteceu em Woodstock;E1600628000000;Ficção;Estados Unidos;Estrangeira;13/11/2009;Universal;Distribuição Internacional;6;7;34.835;330.641,00
2009;Alexandra;E1600549900000;Ficção;França, Rússia;Estrangeira;01/05/2009;Filmes do Estação;Distribuição Nacional;2;4;6.693;46.554,72
2009;Algo que Você Precisa Saber;E1600614000000;Ficção;França;Estrangeira;02/10/2009;Imovision;Distribuição Nacional;8;8;24.039;217.101,09
2009;Alguns Motivos para não se Apaixonar;E1600550000000;Ficção;Argentina;Estrangeira;24/10/2009;Panda Filmes;Distribuição Nacional;1;1;5.019;39.314,30
2009;Alguém que Me Ame de Verdade;E1600551600000;Ficção;Estados Unidos;Estrangeira;09/01/2009;Moviemobz;Distribuição Nacional;4;10;21.883;200.923,61
2009;Alma Perdida;E1600629700000;Ficção;Estados Unidos;Estrangeira;20/03/2009;Universal;Distribuição Internacional;120;120;219.519;1.809.376,00
2009;Almoço em Agosto;E1600613500000;Ficção;Itália;Estrangeira;31/07/2009;Imovision;Distribuição Nacional;13;17;43.979;391.337,31
2009;Amantes;E1600635600000;Ficção;Estados Unidos;Estrangeira;28/08/2009;Playarte;Distribuição Nacional;50;50;129.846;1.309.263,05
2009;American Teen;E1600550400000;Documentário;Estados Unidos;Estrangeira;17/07/2009;Paris;Distribuição Nacional;1;3;257;1.987,00
2009;Anjos da Noite - A Rebelião;E1600636200000;Ficção;Estados Unidos;Estrangeira;17/04/2009;Sony;Distribuição Internacional;165;175;380.302;3.206.656,00
2009;Anjos e Demônios;E1500796600000;Ficção;Estados Unidos;Estrangeira;15/05/2009;Sony;Distribuição Internacional;595;595;3.059.245;28.006.514,75
2009;Anticristo;E1600168100000;Ficção;Alemanha, Dinamarca, França, Itália, Polônia;Estrangeira;28/08/2009;Califórnia;Distribuição Nacional;14;16;73.465;648.887,86
2009;Aquele Querido Mês de Agosto;E1600551500000;Ficção;Portugal;Estrangeira;14/08/2009;Filmes do Estação;Distribuição Nacional;2;7;10.995;103.153,63
2009;Arranca-Me a Vida;E1600551700000;Ficção;México;Estrangeira;16/10/2009;Fox;Distribuição Internacional;2;2;2.026;16.673,00
2009;Arraste-me para o Inferno;E1600563900000;Ficção;Estados Unidos;Estrangeira;14/08/2009;Universal;Distribuição Internacional;196;196;384.212;3.212.231,00
2009;As Testemunhas;E1600601200000;Ficção;França;Estrangeira;16/01/2009;Filmes do Estação;Distribuição Nacional;1;1;8.725;65.138,10
2009;Atividade Paranormal;E1500120300000;Ficção;Estados Unidos;Estrangeira;04/12/2009;Playarte;Distribuição Nacional;247;247;1.086.788;9.078.655,24
2009;Atrizes;E1600549800000;Ficção;França;Estrangeira;01/05/2009;Pandora Filmes;Distribuição Nacional;2;3;5.881;46.205,70
2009;Austrália;E1600552000000;Ficção;Estados Unidos;Estrangeira;23/01/2009;Fox;Distribuição Internacional;190;190;312.944;2.739.993,00
2009;Avatar;E1402514700000;Ficção;Estados Unidos;Estrangeira;18/12/2009;Fox;Distribuição Internacional;738;738;9.111.628;102.346.712,00
2009;Barry & a Banda das Minhocas;E1600627500000;Animação;Dinamarca;Estrangeira;30/01/2009;Imagem;Distribuição Nacional;79;79;85.311;632.870,15
2009;Bastardos Inglórios;E1402518500000;Ficção;Estados Unidos;Estrangeira;09/10/2009;Universal;Distribuição Internacional;175;175;900.001;8.922.862,00
2009;Beijo na Boca, não!;E1600612200000;Ficção;França;Estrangeira;16/01/2009;Pandora Filmes;Distribuição Nacional;1;1;9.358;86.642,00
2009;Bem-Vindo;E1600639700000;Ficção;França;Estrangeira;10/07/2009;Imovision;Distribuição Nacional;5;6;20.667;168.941,70
2009;Bons Costumes;E1600576400000;Ficção;Canadá;Estrangeira;23/10/2009;Sony;Distribuição Internacional;3;6;37.105;357.672,75
2009;Bruno;E1600553800000;Ficção;Estados Unidos;Estrangeira;14/08/2009;Sony;Distribuição Internacional;89;89;226.644;2.163.880,50
2009;Caramelo;E1600555800000;Ficção;Líbano;Estrangeira;05/06/2009;Imovision;Distribuição Nacional;14;15;54.359;510.335,85
2009;Caro Sr. Horten;E1600611200000;Ficção;Noruega;Estrangeira;29/08/2009;Imovision;Distribuição Nacional;1;4;2.632;21.093,53
2009;Casamento Silencioso;E1600623800000;Ficção;Romênia;Estrangeira;03/07/2009;Imovision;Distribuição Nacional;3;3;17.173;150.447,52
2009;Che;E1600556400000;Ficção;Estados Unidos;Estrangeira;27/03/2009;Europa;Distribuição Nacional;34;34;160.588;1.443.776,79
2009;Che 2 - A Guerrilha;E1600556500000;Ficção;Estados Unidos;Estrangeira;18/09/2009;Europa;Distribuição Nacional;34;34;25.895;241.385,46
2009;Cinzas do Passado Redux;E1600551800000;Ficção;Hong Kong;Estrangeira;01/05/2009;Imagem;Distribuição Nacional;8;11;5.738;55.542,50
2009;Coco antes de Chanel;E1600557200000;Ficção;França;Estrangeira;30/10/2009;Warner;Distribuição Internacional;19;19;162.089;1.687.131,00
2009;Confissões de uma Garota de Programa;E1600630300000;Ficção;Estados Unidos;Estrangeira;14/08/2009;Paris;Distribuição Nacional;25;25;15.855;129.156,28
2009;Coraline e o Mundo Secreto;E1402503400000;Animação;Estados Unidos;Estrangeira;13/02/2009;Universal;Distribuição Internacional;160;162;304.478;2.869.673,00
2009;Código de Conduta;E1600599700000;Ficção;Estados Unidos;Estrangeira;06/11/2009;Imagem;Distribuição Nacional;132;133;395.993;3.570.435,98
2009;De Profundis;E1600561800000;Animação;Espanha;Estrangeira;13/11/2009;Europa;Distribuição Nacional;4;8;2.002;15.193,39
2009;De Repente, California;Sem ROE;Ficção;Estados Unidos;Estrangeira;05/06/2009;Ab Filmes;Distribuição Nacional;1;6;33.255;307.288,57
2009;Deixa ela Entrar;E1600544500000;Ficção;Suécia;Estrangeira;02/10/2009;Filmes da Mostra;Distribuição Nacional;12;12;38.413;374.253,17
2009;Delírios de Consumo de Becky Bloom;E1500116400000;Ficção;Estados Unidos;Estrangeira;10/04/2009;Sony;Distribuição Internacional;78;78;158.923;1.577.260,00
2009;Desejo e Perigo;E1402644600000;Ficção;China;Estrangeira;15/05/2009;Europa;Distribuição Nacional;12;12;60.850;575.245,18
2009;Dezessete Outra Vez;E1600622800000;Ficção;Estados Unidos;Estrangeira;10/07/2009;Playarte;Distribuição Nacional;147;147;329.512;2.546.999,73
2009;Dia dos Namorados Macabro 3D;E1600608700000;Ficção;Estados Unidos;Estrangeira;14/03/2009;Playarte;Distribuição Nacional;137;137;251.429;2.555.728,19
2009;Distrito 9;E1600380600000;Ficção;África do Sul, Canadá, Estados Unidos, Nova Zelândia;Estrangeira;16/10/2009;Sony;Distribuição Internacional;204;218;515.429;4.622.102,00
2009;Diário Proibido;E1600563100000;Ficção;Espanha;Estrangeira;25/09/2009;Playarte;Distribuição Nacional;26;26;14.371;121.923,48
2009;Dois em Um;E1600598500000;Ficção;França;Estrangeira;09/01/2009;Pandora Filmes;Distribuição Nacional;4;4;4.073;30.246,05
2009;Donkey Xote;E1600563500000;Animação;Espanha;Estrangeira;29/05/2009;Imagem;Distribuição Nacional;91;91;57.243;437.894,69
2009;Dragonball Evolution;E1600564000000;Ficção;Estados Unidos;Estrangeira;10/04/2009;Fox;Distribuição Internacional;155;155;482.895;3.664.655,00
2009;Duplicidade;E1600410100000;Ficção;Alemanha, Estados Unidos;Estrangeira;05/06/2009;Universal;Distribuição Internacional;50;50;152.205;1.534.370,00
2009;Dúvida;E1402630000000;Ficção;Estados Unidos;Estrangeira;06/02/2009;Sony;Distribuição Internacional;36;36;164.467;1.564.099,00
2009;Efeito Borboleta: Revelação;E1600555400000;Ficção;Estados Unidos;Estrangeira;31/07/2009;Imagem;Distribuição Nacional;81;81;140.196;1.175.143,19
2009;Ele não Está tão Afim;E1500169000000;Ficção;Estados Unidos;Estrangeira;27/03/2009;Playarte;Distribuição Nacional;145;145;834.552;7.651.193,86
2009;Encontro de Casais;E1600468800000;Ficção;Estados Unidos;Estrangeira;25/12/2009;Universal;Distribuição Internacional;166;166;718.981;6.452.286,00
2009;Enquanto o Sol não Vem;E1600611600000;Ficção;França;Estrangeira;17/07/2009;Pandora Filmes;Distribuição Nacional;4;4;17.550;155.870,53
2009;Entre os Muros da Escola;E1600582600000;Ficção;França;Estrangeira;13/03/2009;Imovision;Distribuição Nacional;33;33;127.582;1.096.639,42
2009;Ervas Daninhas;E1600601300000;Ficção;França;Estrangeira;25/12/2009;Imovision;Distribuição Nacional;14;14;42.519;400.606,25
2009;Estação Espacial 3D;E1600626400000;Documentário;Canadá;Estrangeira;29/05/2009;Espaço Itaú de Cinema;Distribuição Nacional;1;1;16.285;288.505,00
2009;Eu Odeio o Dia dos Namorados;E1600589600000;Ficção;Estados Unidos;Estrangeira;24/04/2009;Playarte;Distribuição Nacional;132;132;185.663;1.633.991,08
2009;Eu te Amo, Cara;E1600589700000;Ficção;Estados Unidos;Estrangeira;24/04/2009;Paramount;Distribuição Internacional;81;81;113.905;1.061.827,00
2009;Evocando Espíritos;E1500459600000;Ficção;Canadá, Estados Unidos;Estrangeira;17/04/2009;Imagem;Distribuição Nacional;139;142;377.765;3.285.677,07
2009;Fados;E1600426500000;Documentário;Espanha, Portugal;Estrangeira;16/10/2009;Europa;Distribuição Nacional;5;16;14.721;130.560,16
2009;Falando Grego;E1600608800000;Ficção;Estados Unidos;Estrangeira;12/09/2009;Imagem;Distribuição Nacional;120;120;171.690;1.486.340,98
