Listagem de Complexos de Exibição por Município e UF - 2017;;;;;;;
;;;;;;;
#;UF;Município;População*;Nome Complexo ;Grupo ANCINE;Registro Ancine do Complexo;Número de Salas
142;MA;CAXIAS;162.657;Multicine Cinemas Caxias Shopping;MULTICINE;34495;5
143;MA;IMPERATRIZ;254.569;Cine Star (Tocantins Shopping);INDEPENDENTE;27466;3
144;MA;IMPERATRIZ;254.569;Cinesystem Imperial Shopping;CINESYSTEM;22693;5
145;MA;SÃO JOSÉ DE RIBAMAR;176.418;Centerplex Pátio Norte Shopping;CENTERPLEX;29562;6
146;MA;SÃO LUÍS;1.091.868;Cine Lume;INDEPENDENTE;24785;1
147;MA;SÃO LUÍS;1.091.868;Cinépolis São Luis Shopping;CINÉPOLIS;25195;10
148;MA;SÃO LUÍS;1.091.868;Cinesystem Rio Anil Shopping;CINESYSTEM;17201;6
149;MA;SÃO LUÍS;1.091.868;Kinoplex Golden;KINOPLEX;38261;4
150;MA;SÃO LUÍS;1.091.868;Moviecom Shopping Passeio;MOVIECOM SÃO PAULO;29852;5
151;MA;SÃO LUÍS;1.091.868;UCI Kinoplex Shopping da Ilha;UCI RIBEIRO;26215;8
152;MA;TIMON;167.619;Multicine Timón;MULTICINE;37675;4
153;MG;ALFENAS;79.707;Cine A Alfenas;CINE A;14009;2
154;MG;ARAXÁ;104.283;Cinemais Araxá;CINEMAIS;29536;2
155;MG;BARBACENA;136.689;Cine Teatro Barbacena;INDEPENDENTE;6626;2
156;MG;BELO HORIZONTE;2.523.794;Cine 104;INDEPENDENTE;21938;1
157;MG;BELO HORIZONTE;2.523.794;Cine TJ;INDEPENDENTE;16188;6
158;MG;BELO HORIZONTE;2.523.794;Cineart Boulevard Shopping;CINEART;17944;6
159;MG;BELO HORIZONTE;2.523.794;Cineart Minas Shopping;CINEART;20427;6
160;MG;BELO HORIZONTE;2.523.794;Cineart Shopping Cidade;CINEART;438;8
161;MG;BELO HORIZONTE;2.523.794;Cineart Shopping Del Rey;CINEART;6589;7
162;MG;BELO HORIZONTE;2.523.794;Cineart Shopping Paragem;CINEART;26527;5
163;MG;BELO HORIZONTE;2.523.794;Cineart Viashopping;CINEART;1828;5
164;MG;BELO HORIZONTE;2.523.794;Cinema Belas Artes;ESPAÇO;27914;3
165;MG;BELO HORIZONTE;2.523.794;Cinemark BH Shopping;CINEMARK;27468;10
166;MG;BELO HORIZONTE;2.523.794;Cinemark Diamond Mall;CINEMARK;27429;6
167;MG;BELO HORIZONTE;2.523.794;Cinemark Pátio Savassi;CINEMARK;3086;8
168;MG;BELO HORIZONTE;2.523.794;Cinépolis Estação BH;CINÉPOLIS;22213;6
169;MG;BELO HORIZONTE;2.523.794;Cinesercla Norte;SERCLA;13920;4
170;MG;BELO HORIZONTE;2.523.794;Net Cineart Ponteio;CINEART;26528;4
171;MG;BETIM;427.146;Cineart Betim Shopping;CINEART;436;3
172;MG;BETIM;427.146;Cineart Monte Carmo;CINEART;28616;5
173;MG;BETIM;427.146;Cinemark Partage Shopping Betim;CINEMARK;27397;7
174;MG;CAETÉ;44.377;Cine Teatro Caeté;INDEPENDENTE;33331;1
175;MG;CAMBUÍ;29.165;Cine Cambuí;INDEPENDENTE;6608;1
176;MG;CATAGUASES;75.025;AFA Cine Ritz Cataguases;AFA;31643;2
177;MG;CAXAMBU;22.208;Cineminas Caxambu;CINEMINAS;5650;1
178;MG;CONTAGEM;658.580;Cineart Itaúpower Shopping;CINEART;1829;6
179;MG;CONTAGEM;658.580;Cineart Shopping Contagem;CINEART;26530;8
180;MG;CONTAGEM;658.580;Cinesercla Big;SERCLA;13923;5
181;MG;DIVINÓPOLIS;234.937;AFA Cine Ritz Pátio Divinópolis;AFA;34408;5
182;MG;FORMIGA;68.423;Josué´s Cine Formiga;JOSUE'S CINE;15093;2
183;MG;FORMIGA;68.423;Josué's Cine Universitário;JOSUE'S CINE;28343;1
184;MG;GOVERNADOR VALADARES;280.901;Cinesercla GV Shopping;SERCLA;24571;4
185;MG;GUAXUPÉ;52.294;Cine 14 Bis;INDEPENDENTE;6623;1
