Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição com Valores Captados através de Mecanismos de Incentivo e Fundo Setorial do Audiovisual - 1995 a 2019;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Público;Renda (R$);Projeto de incentivo aprovado?;Art. 18;Art. 25;Art. 1º;Art. 1 º A;Art. 3º;Art. 3º A;Conversão da dívida;Art. 39;Funcines;FSA;Outras Fontes;Valor Total Captado/ Contratados(R$)
2018;B1800002100000;Mata Negra;Rodrigo Simões Aragão;Ficção;Fábulas Negras Produções Artísticas;ES;Finordia Produções;ES;Elo Company;22;1.072;10.033,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ;751.161,00; -;751.161,00
2018;B1800177600000;Memória Italiana - Histórias Em Família;Adriana Silva;Documentário;Filmland Internacional;SP; -; -;Latinamerica Entretenimento Internacional;1;77;854;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1700306600000;Memórias De Uma Escola;Adriana Silva;Documentário;Filmland Internacional;SP; -; -;Latinamerica Entretenimento Internacional;1;275;2.834,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1700480400000;Meu Tio E O Joelho De Porco;Rafael Terpins;Documentário;A Fantástica Fábrica de Filmes;SP;Canal Brasil;RJ;Elo Company;22;475;4.140,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ;99.650,00; -;99.650,00
2018;B1800505200000;Meu Tricolor de Aço;Glauber Filho/Tibico Brasil/Valdo Siqueira;Documentário;Estação Luz Filmes;CE; -; -;Estação Luz Filmes;16;9.591;141.650,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1800563600000;Minas do Futebol;Yugo Hattori;Documentário;Paris Entretenimento;SP;Alvorada Filmes;SP;Paris;2;41;556;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1800539000000;Minha Vida Em Marte;Susana Garcia;Ficção;Capri Produções;RJ;A Fábrica/Globo Filmes/Xanadu;RJ/RJ/RJ;Downtown/Paris;925;5.235.201;81.111.980,00;Sim; - ; - ; - ; - ; - ;3.000.000,00; - ; - ; - ; -; -;3.000.000,00
2018;B1800300700000;Missão 115;Silvio Da-Rin;Documentário;Diálogo Comunicação;RJ;Afinal Filmes;RJ;Bretz Filmes;8;1.467;20.520,00;Sim; - ; - ; - ;500.000,00; - ; - ; - ; - ; - ;124.000,00; -;624.000,00
2018;B1700465300000;Moacir;Tomas Lipgot;Documentário;Miração Filmes;SP; -; -;Miração Filmes;5;375;4.298,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ;275.000,00; -;275.000,00
2018;B1700614000000;Motorrad;Vicente Amorim;Ficção;Filmland Internacional;SP; -; -;Warner;166;10.493;141.413,00;Sim; - ; - ;1.742.614,00;1.800.000,00;931.888,18; - ; - ; - ; - ; -; -;4.474.502,18
2018;B1800269200000;Mulheres Alteradas;Luis Pinheiro;Ficção;O2 Filmes;SP;Globo Filmes/Telecine;RJ/RJ;Downtown/Paris;163;92.607;1.440.179,00;Sim; - ; - ; - ;1.600.000,00; - ;2.255.784,19; - ; - ; - ;3.200.000,00;99.938,61;7.155.722,80
2018;B1402254000000;My Name Is Now, Elza Soares;Elizabete Martins Campos;Documentário;IT Filmes;MG; -; -;It Filmes;13;2.836;43.868,00;Sim; - ; - ; - ;901.808,00; - ; - ; - ; - ; - ; -; -;901.808,00
2018;B1800110100000;Nada A Perder;Alexandre Avancini;Ficção;Record Entretenimento;SP; -; -;Downtown/Paris;1.161;12.184.373;120.992.794,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1800010300000;Não Se Aceitam Devoluções;Andre Torres Moraes;Ficção;Total Entertainment;RJ; -; -;Fox;488;292.740;4.182.222,00;Sim; - ; - ; - ; - ;3.000.000,00; - ; - ; - ; - ;500.000,00; -;3.500.000,00
2018;B1700184000000;Nova Amsterdam;Edson Soares;Ficção;Engady Cine Vídeo;RN; -; -;Engady Cine Vídeo;2;608;8.698,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ;238.000,00; -;238.000,00
2018;B1700456600000;O Animal Cordial;Gabriela Amaral Almeida;Ficção;RT Features;SP;Canal Brasil;RJ;Califórnia;22;8.547;121.895,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1500416000000;O Animal Sonhado;Breno Baptista/Luciana Vieira/Rodrigo Fernandes/Samuel Brasileiro/Ticiana Augusto Lima/Victor Costa Lopes;Ficção;Tardo Filmes;CE; -; -;Olhar Distribuição;1;117;994;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1800501600000;O Avental Rosa;Jayme Monjardim;Ficção;Accorde Filmes;RS;Globo Filmes;RJ;Accorde Audiovisuais;1;126;800;Sim; - ; - ; - ; - ; - ;3.000.000,00; - ; - ; - ; -; -;3.000.000,00
2018;B1700260300000;O Banquete;Daniela Thomas;Ficção;Cisma Produções;SP;T + T Projetos;SP;Imovision;30;10.057;167.597,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ;1.297.635,00; -;1.297.635,00
2018;B1700584300000;O Beijo No Asfalto;Murilo Benício;Ficção;República Pureza Filmes;RJ;Canal Brasil;RJ;Arthouse;31;11.002;140.891,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ;800.000,00; -;800.000,00
2018;B1800307900000;O Candidato Honesto 2;Roberto Santucci;Ficção;Camisa Listrada/Panorama Filmes;RJ/RJ;Telecine;RJ;Downtown/Paris;736;580.568;8.363.263,00;Sim; - ; - ; - ;554.117,78;2.000.000,00;1.000.000,00; - ; - ;1.250.000,00;3.811.294,00; -;8.615.411,78
2018;B1700451600000;O Caso do Homem Errado;Camila de Moraes;Documentário;Praça de Filmes;RS; -; -;Interagir Cultural;2;1.207;10.797,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1800323800000;O Colar De Coralina;Reginaldo Gontijo;Ficção;Brasilirica ;DF;Lua Virada;DF;O2 Play;55;2.876;32.843,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ;199.992,00; -;199.992,00
2018;B1800055100000;O Cravo e a Rosa - O Documentário;Jorge Farjalla;Documentário;Kellys Kelfis;RJ; -; -;Nozes Produções;1;6;70;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1700615400000;O Desmonte Do Monte;Sinai Sganzerla;Documentário;Mercúrio Produções;SP; -; -;Mercúrio Produções;9;5.121;69.773,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ;600.000,00; -;600.000,00
2018;B1800397100000;O Doutrinador - O Filme;Gustavo Bonafé;Ficção;Paris Entretenimento;SP;Telecine;RJ;Downtown;467;276.658;3.933.475,00;Sim; - ; - ; - ;1.100.000,00; - ; - ; - ; - ; - ;6.800.000,00; -;7.900.000,00
2018;B1800446400000;O Fantástico Patinho Feio;Denilson Félix;Documentário;Caldo de Cana Filmes;DF; -; -;Elo Company;25;596;5.714,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ;200.000,00; -;200.000,00
2018;B1800000800000;O Grande Circo Mistico;Cacá Diegues;Ficção;Luz Mágica Produções;RJ;Globo Filmes;RJ;H2O Films;152;51.480;836.874,00;Sim; - ; - ; - ;3.250.000,00; - ;3.000.000,00; - ; - ;563.000,00;3.500.000,00;180.297,51;10.493.297,51
2018;B1800115600000;O Homem Perfeito;Marcus Baldini;Ficção;Damasco Filmes;SP;Popcon/Telecine;SP/RJ;Downtown;46;11.289;178.904,00;Sim; - ; - ;450.000,00;1.001.576,83; - ;1.490.215,41; - ; - ;1.125.000,00;3.000.000,00;69.788,33;7.136.580,57
2018;B1800398300000;O Homem que Parou o Tempo;Hilnando SM;Ficção;Hilnando Souto Mendes;RJ; -; -;Elo Company;22;982;8.236,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1700090400000;O Jabuti e a Anta;Eliza Capai;Documentário;Usina de Imagens;ES;1979 Curadoria e Criatividade Musical e Sonora/Associação Civil Greenpeace/Marina Yamaoka/Daesquina/Carol Quintanilha;SP/SP/SP/SP/SP;Taturana;1;202;1.905,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1800247400000;O Muro;Lula Buarque de Hollanda;Documentário;Espiral;RJ; -; -;Espiral;2;205;2.661,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ;569.041,29; -;569.041,29
2018;B1800187300000;O Nó do Diabo;Gabriel Martins/Ian Abé/Jhésus Tribuzi/Ramon Porto Mota;Ficção;Vermelho Profundo;PB;Elna Design;PB;Elo Company;25;2.061;18.631,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1700513700000;O Nome da Morte;Henrique Goldman;Ficção;TV Zero Cinema;RJ;Globo Filmes/O2 Filmes;RJ/SP;Imagem;139;45.766;711.964,00;Sim; - ; - ; - ; - ; - ;1.270.000,00; - ; - ; - ;2.400.000,00;170.000,00;3.840.000,00
2018;B1800324100000;O Paciente, O Caso Tancredo Neves;Sergio Rezende;Ficção;Morena Filmes;RJ;Globo Filmes/Xanadu/Telecine;RJ/RJ/RJ;Paris;87;40.793;818.899,00;Sim; - ; - ; - ; - ;150.000,00;2.350.000,00; - ; - ; - ;4.500.000,00; -;7.000.000,00
2018;B1800130600000;O Processo;Maria Augusta Ramos;Documentário;Nofoco Filmes;RJ;Canal Brasil;RJ;Vitrine Filmes;63;66.137;916.587,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1800038700000;O Renascimento do Parto 2;Eduardo Chauvet;Documentário;808 Filmes Fora da Lata;DF; -; -;Espaço Filmes;41;6.234;100.785,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1800387700000;O Renascimento do Parto 3;Eduardo Chauvet;Documentário;808 Filmes Fora da Lata;DF; -; -;Espaço Filmes;13;1.434;27.773,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1800346100000;O Segredo De Davi;Diego Freitas;Ficção;Parakino Filmes;SP;Movioca Content House/EH! Filmes;SP/RJ;Elo Company;84;9.104;111.883,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ;1.699.950,00; -;1.699.950,00
2018;B1700159700000;O Silêncio Da Noite É Que Tem Sido Testemunha Das Minhas Amarguras;Petrônio Lorena;Documentário;Nosotros & Los Demás Produções Artísticas;PE;Candiero Produções;PE;Inquieta Cinema Cultura e Comunicação;5;794;7.191,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ;89.903,98; -;89.903,98
2018;B1800193400000;O Silêncio É Uma Prece;Candé Salles;Documentário;Cygnus Media;SP; -; -;Downtown/Paris;29;5.613;97.684,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1800509700000;Onde a Moeda Cai em Pé - A História do São Paulo Futebol Clube;Alexandre Boechat/Andre Plihal/Pedro Jorge/Ricardo Aidar;Documentário;Canal Azul;SP;ESPN Brasil;SP;Elo Company;22;3.854;34.564,00;Sim; - ; - ; - ; - ; - ;371.268,75; - ; - ; - ; -; -;371.268,75
2018;B1700406200000;Os Caubóis do Apocalipse;Diego da Costa;Ficção;Pietà Filmes;SP; -; -;Pietà Filmes;4;394;7.020,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1800546900000;Os Exterminadores do Além Contra a Loira do Banheiro;Fabrício Bittar;Ficção;Clube Filmes;SP; -; -;Vitrine Filmes;314;181.695;2.341.605,00;Sim; - ; - ; - ; - ;2.800.000,00; - ; - ; - ; - ;2.000.000,00; -;4.800.000,00
2018;B1700611000000;Os Farofeiros;Roberto Santucci;Ficção;Camisa Listrada/Panorama Filmes;RJ/RJ;Telecine;RJ;Downtown/Paris;725;2.604.658;36.820.843,00;Sim; - ; - ; - ;645.882,22;1.275.791,23;1.724.208,77; - ; - ; - ;3.092.000,00; -;6.737.882,22
2018;B1500794300000;Os Incontestáveis;Alexandre Serafini;Ficção;Ladart Produções;ES; -; -;Livres Filmes;12;789;7.676,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ;75.000,00; -;75.000,00
2018;B1700431000000;Outra História Do Mundo;Guillermo Casanova;Ficção;Três Mundos Produções;RJ; -; -;Fênix Filmes/Tucumán;19;5.526;86.119,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ; -;207.840,00;207.840,00
2018;B1800127700000;Pagliacci;Chico Gomes/Julio Hey/Luiz Villaça/Luiza Villaça/Pedro Moscalcoff;Documentário;Bossa Nova Films;SP;Globo Filmes/Canal Brasil;RJ/RJ;Pandora Filmes;2;570;7.805,00;Sim; - ; - ; - ; - ; - ;200.000,00; - ; - ; - ;104.944,00; -;304.944,00
2018;B1700026000000;Para Ter Onde Ir;Jorane Castro;Ficção;Cabocla Filmes/Rec Produtores Associados;PA/PE; -; -;O2 Play;8;1.692;13.566,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1800202100000;Paraíso Perdido;Monique Gardenberg;Ficção;Dueto Filmes;RJ;Casé Filmes;RJ;Vitrine Filmes;103;21.598;321.489,00;Sim; - ; - ;320.471,00;750.000,00; - ; - ; - ; - ; - ;5.000.000,00; -;6.070.471,00
2018;B1800487600000;Parquelândia;Cecília da Fonte;Documentário;Ventana Filmes;PE; -; -;Taturana;1;239;1.622,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1700590500000;Paulistas;Daniel Nolasco;Documentário;Estúdio Giz;RJ;Daniel Nolasco/Panaceia Filmes;GO/GO;Vitrine Filmes;17;1.089;7.227,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1700011500000;Peixonauta: O Filme;Celia Serra/Kiko Mistrorigo/Rodrigo Eba!;Animação;TV Pinguim;SP; -; -;Riofilme;90;22.144;300.329,00;Sim; - ; - ;1.000.000,00;1.337.427,36; - ; - ; - ; - ; - ;2.600.000,00; -;4.937.427,36
2018;B1700088100000;Pela Janela;Caroline Leone;Ficção;Dezenove Som e Imagens;SP; -; -;Vitrine Filmes;27;5.251;38.358,00;Sim; - ; - ; - ;620.000,00; - ; - ; - ; - ; - ;1.100.000,00;92.000,00;1.812.000,00
2018;B1700242100000;Piripkura;Bruno Jorge/Mariana Oliva/Renata Terra;Documentário;Zeza Filmes;SP; -; -;Synapse;6;908;16.809,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ;550.640,00; -;550.640,00
2018;B1700527500000;Pra Ficar Na História;Boca Migotto;Documentário;Globo Filmes;RJ;Epifania Filmes/Teimoso Filmes e Artes;RS/RS;Pipoca & Filmes;2;309;2.582,00;Sim; - ; - ; - ;40.000,00; - ;100.000,00; - ; - ; - ; -; -;140.000,00
2018;B1700405200000;Praça Paris;Lucia Murat;Ficção;Taiga Filmes e Vídeo;RJ;Telecine;RJ;Imovision;21;13.348;206.149,00;Sim; - ; - ; - ; - ; - ;100.000,00; - ; - ; - ;2.000.000,00; -;2.100.000,00
2018;B1500585400000;Quase Memória;Ruy Guerra;Ficção;Kinossaurus Filmes;RJ;Globo Filmes/Lereby;RJ/RJ;Pandora Filmes;19;4.188;60.683,00;Sim; - ; - ;1.000.000,00;1.379.000,00; - ;424.922,33; - ; - ; - ;1.150.000,00; -;3.953.922,33
2018;B1800396500000;Quem Mora Lá;César Vieira/Conrado Ferrato/Rafael Crespo;Documentário;Valete de Copas Filmes;SP; -; -;Califórnia/Taturana;1;91;829;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1700332400000;Querida Mamãe;Jeremias Moreira Filho;Ficção;Moonshot Pictures;SP; -; -;Elo Company;31;1.646;17.577,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ;2.624.224,17; -;2.624.224,17
2018;B1700409900000;Querido Embaixador;Luiz Fernando Goulart;Documentário;Toscana Audiovisual;RJ;Globo Filmes/Canal Brasil;RJ/RJ;Elo Company;23;2.297;26.425,00;Sim; - ; - ;200.000,00;269.216,00; - ;300.000,00; - ; - ; - ; -; -;769.216,00
2018;B1800549200000;Rasga Coração;Jorge Furtado;Ficção;Casa de Cinema de Porto Alegre;RS;Globo Filmes/Canal Brasil/Guel Produtora;RJ/RJ/RJ;Sony;32;8.250;137.142,00;Sim; - ; - ; - ; - ; - ;3.000.000,00; - ; - ; - ; -; -;3.000.000,00
2018;B1800077300000;Rio do Medo;Ernesto Rodrigues;Documentário;Bizum Comunicação;RJ;Globo Filmes/Canal Brasil;RJ/RJ;Bizum;1;79;519;Sim; - ; - ; - ; - ; - ;190.000,00; - ; - ; - ; -; -;190.000,00
2018;B1700606700000;Rio Mumbai;Gabriel Mellin/Pedro Sodré;Ficção;Copa Filmes/Rio Cinema Digital;RJ/RJ; -; -;Copa Filmes;3;322;4.202,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1600641100000;Rogério Duarte, o Tropikaoslista;José Walter Lima;Documentário;VPC Cinemavídeo;BA; -; -;O2 Play;15;1.419;16.162,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ;100.000,00; -;100.000,00
2018;B1700581200000;Sailing Band;Denis Nielsen;Documentário;Paris Entretenimento;SP;Tapa Filmes;SP;Downtown/Paris;1;130;2.609,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1800211500000;Salto No Vazio;Cavi Borges/Patricia Niedermeier;Ficção;Cavideo Produções;RJ; -; -;Cavideo Produções;1;124;2.137,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1600050100000;Santoro- O Homem E Sua Música;John Howard Szerman;Documentário;John Howard Szerman Produções Cinematográficas;DF; -; -;Dada' N Zen Produções;10;489;7.435,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ;81.100,00; -;81.100,00
2018;B1700508700000;Saudade;Paulo Caldas;Documentário;99 Produções;PE;Ateliê Produções/Academia de Filmes/Newco;PE/SP/SP;Lira Filmes;8;2.286;31.830,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ;800.800,00; -;800.800,00
2018;B1800126800000;Sequestro Relâmpago;Tata Amaral;Ficção;Tangerina Entretenimento;SP;Globo Filmes/Canal Brasil/Guel Produtora/Manjericão Filmes;RJ/RJ/RJ/SP;Pagu Pictures;63;13.075;188.694,00;Sim; - ; - ; - ; - ; - ;3.000.000,00; - ; - ; - ;100.000,00; -;3.100.000,00
2018;B1800287300000;Sertão Velho Cerrado;André D'Elia;Documentário;Cinedelia;SP; -; -;O2 Play;6;1.789;22.831,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ;100.000,00; -;100.000,00
2018;B1700414300000;Severina;Felipe Hirsch;Ficção;RT Features;SP; -; -;Vitrine Filmes;36;13.647;144.303,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1800250800000;Slam: Voz de Levante;Roberta Estrela D'Alva/Tatiana Lohmann;Documentário;Exótica Cinematográfica;SP;Globo Filmes/Miração Filmes;RJ/SP;Pagu Pictures;11;748;12.861,00;Sim; - ; - ; - ; - ; - ;170.000,00; - ; - ; - ;200.000,00; -;370.000,00
2018;B1700539800000;Soldados Do Araguaia;Belisario Franca;Documentário;Giros;RJ; -; -;Urca Filme;8;1.299;18.519,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ;400.000,00; -;400.000,00
2018;B1800307200000;Sueño Florianópolis;Ana Katz;Ficção;Prodigo Films;SP;Groch Filmes;SP;Vitrine Filmes;34;4.127;31.292,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ;700.000,00;410.000,00;1.110.000,00
2018;B1600532000000;Super Orquestra Arcoverdense De Ritmos Americanos;Sérgio Oliveira;Documentário;Aroma Filmes;PE; -; -;Inquieta Cinema Cultura e Comunicação;5;260;1.691,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ;125.725,60; -;125.725,60
2018;B1800212800000;Talvez Uma História De Amor;Rodrigo Spada Bernardo;Ficção;Chocolate Filmes;SP; -; -;Warner;169;37.296;557.308,00;Sim; - ; - ; - ;1.500.000,00;2.006.171,50;993.808,50; - ; - ; - ;800.000,00; -;5.299.980,00
2018;B1800124400000;Teu Mundo Não Cabe Nos Meus Olhos;Paulo Nascimento;Ficção;Accorde Filmes;RS;Globo Filmes/Telecine/Maiomidia Comunicação;RJ/RJ/RJ;Downtown/Paris;111;14.881;240.191,00;Sim; - ; - ; - ;850.000,00; - ;1.400.000,00; - ; - ; - ;1.626.933,52; -;3.876.933,52
2018;B1800132900000;Tinta Bruta;Filipe Matzembacher/Marcio Reolon;Ficção;Avante Filmes;RS;Besouro Filmes;RS;Vitrine Filmes;43;8.290;64.353,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ;1.099.820,00; -;1.099.820,00
2018;B1800387000000;Todas As Canções De Amor;Joana Mariani;Ficção;Maya Filmes/Planetario Filmes;SP/RJ; -; -;Vitrine Filmes;65;27.703;390.797,00;Sim; - ; - ;500.000,00;80.000,00;1.827.411,63;1.172.588,37; - ; - ; - ; -; -;3.580.000,00
2018;B1700428100000;Todas As Razões Para Esquecer;Pedro Coutinho;Ficção;Paranoid Filmes;SP;Lagoa Filmes;SP;Bretz Filmes/Pagu Pictures;23;2.305;35.918,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1600746000000;Todo Clichê Do Amor;Rafael Primot;Ficção;Enkapothado Produções;SP;Muk Produções/Canal Brasil;SP/RJ;Muk Produções/Enkapothado;8;573;10.049,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1800029300000;Todos os Paulos do Mundo;Gustavo Ribeiro/Rodrigo de Oliveira;Documentário;Bananeira Filmes;RJ;Globo Filmes/Canal Brasil;RJ/RJ;Vitrine Filmes;32;2.846;19.986,00;Sim; - ; - ; - ; - ; - ;61.586,20; - ; - ; - ;650.000,00; -;711.586,20
2018;B1700532000000;Torquato Neto - Todas as Horas do Fim;Eduardo Ades/Marcus Fernando;Documentário;Imagem-Tempo;RJ;Girândola Produções;RJ;Vitrine Filmes;30;9.395;73.166,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1700025700000;Tropykaos;Daniel Lisboa;Ficção;Cavalo do Cão Filmes;BA; -; -;Pipa Produções;3;1.752;13.508,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ;133.200,00; -;133.200,00
2018;B1800410600000;Tudo Acaba Em Festa;Andre Alberto Pellenz;Ficção;Gullane;SP;Andre Alberto Pellenz; -;Paris;83;30.562;462.133,00;Sim; - ; - ;350.000,00;560.000,00;2.838.382,77; - ; - ;161.617,00; - ;3.000.000,00;194.600,00;7.104.599,77
2018;B1600483500000;Tudo É Irrelevante - Helio Jaguaribe;Ernesto Baldan/Izabel Jaguaribe;Documentário;Jaguar Produções Artísticas;RJ;Canal Brasil;RJ;Arthouse;5;221;2.341,00;Sim; - ;41.205,00; - ;400.000,00; - ; - ; - ; - ; - ;100.000,00; -;541.205,00
2018;B1800285700000;Tudo Por Um Pop Star;Bruno Garotti;Ficção;Panorâmica;RJ;Globo Filmes/Telecine;RJ/RJ;Downtown/Paris;708;1.187.624;15.786.956,00;Sim; - ; - ; - ;942.568,22;403.493,43;1.996.506,57; - ; - ;1.000.000,00;3.150.304,89; -;7.492.873,11
2018;B1800116000000;Tungstênio;Heitor Dhalia;Ficção;Paranoid Filmes;SP;Globo Filmes/Canal Brasil/Guel Produtora;RJ/RJ/RJ;Pagu Pictures;67;5.737;87.296,00;Sim; - ; - ; - ; - ; - ;3.000.000,00; - ; - ; - ; -; -;3.000.000,00
2018;B1700462900000;Uma Espécie De Família;Diego Lerman;Ficção;Bossa Nova Films;SP; -; -;Pandora Filmes;16;3.566;50.056,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ;200.000,00;662.500,00;862.500,00
2018;B1800235900000;Uma Quase Dupla;Marcus Baldini;Ficção;Biônica Filmes/Paris Entretenimento;SP/SP; - ; - ;Downtown/Paris;460;644.115;9.156.020,00;Sim; - ; - ;276.338,00;458.500,00; - ;3.000.000,00; - ; - ; - ; -; -;3.734.838,00
2018;B1700501700000;Unicórnio;Eduardo Nunes;Ficção;3 Tabela Filmes;RJ;Canal Brasil;RJ;Vitrine Filmes;40;6.798;53.690,44;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ;2.088.260,00; -;2.088.260,00
2018;B1800163200000;Vende-Se Esta Moto;Marcus Vinícius Faustini;Ficção;Cavideo Produções;RJ; -; -;Cavideo Produções;2;310;4.922,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1800091800000;Verão em Rildas;Daniel Caetano;Ficção;Duas Mariola Filmes;RJ; -; -;Dm Filmes;3;220;2.707,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2018;B1600725300000;Vinte Anos;Alice de Andrade;Documentário;Filmes do Serro;RJ;Canal Brasil;RJ;Arthouse;9;1.257;14.361,00;Sim; - ; - ; - ;393.251,95; - ; - ; - ; - ; - ;100.000,00; -;493.251,95
2018;B1700424500000;Yonlu;Hique Montanari;Ficção;Container Filmes;RS;Prana Filmes/Jose Luiz Marques;RS/-;Lança Filmes;35;7.906;100.393,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ;800.000,00; -;800.000,00
2018;B1700480900000;Zama;Lucrécia Martel;Ficção;Bananeira Filmes;RJ;Telecine;RJ;Vitrine Filmes;27;10.411;142.427,57;Sim; - ; - ; - ; - ; - ;250.000,00; - ; - ; - ;1.793.941,00;610.000,00;2.653.941,00
2019;B1800586000000;45 Dias Sem Você;Rafael Gomes;Ficção;Substância Filmes e Outras Misturas;SP;Lacuna Filmes/Polana Filmes;SP/SP;O2 Play;7;3.303;31.295,00;Sim; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
2019;B1800516900000;A Cidade dos Piratas;Otto Guerra;Animação;Otto Desenhos Animados;RS; -; -;Lança Filmes;22;2.364;32.055,00;Sim; - ; - ;1.119.000,00;600.000,00; - ; - ; - ; - ; - ;2.105.830,00; -;3.824.830,00
2019;B1800358900000;A Família Submersa;María Alché;Ficção;Bubbles Project;RJ; -; -;Esfera Produções;14;2.538;38.427,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ;996.025,00; -;996.025,00
2019;B1900415900000;A Fera na Selva;Eliane Giardini/Lauro Escorel/Paulo Betti;Ficção;Prole de Adão Produção Artísticas;RJ;Batuta Filmes/Globo Filmes/Canal Brasil/O2 Filmes;SP/RJ/RJ/SP;O2 Play;5;3.106;41.232,00;Sim; - ; - ;300.000,00;390.000,00; - ;400.000,00; - ; - ; - ;2.442.440,00; -;3.532.440,00
2019;B1900139400000;A História de um Sonho;Marcela Coelho/Ricardo Aidar﻿;Documentário;Lep Filmes;SP;Canal Azul;SP;Elo Company;30;4.910;35.242,00;Sim; - ; - ; - ;40.500,00; - ; - ; - ; - ; - ; -; -;40.500,00
2019;B1900148100000;A Irmandade;Juscelino Ribeiro;Documentário;Globo Filmes;RJ;Framme Produções/Juscelino Ribeiro;PI/PI;Lume Produções Cinematográficas;1;684;6.611,00;Sim; - ; - ; - ; - ; - ;150.000,00; - ; - ; - ; -; -;150.000,00
