Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição com Valores Captados através de Mecanismos de Incentivo e Fundo Setorial do Audiovisual - 1995 a 2019;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Público;Renda (R$);Projeto de incentivo aprovado?;Art. 18;Art. 25;Art. 1º;Art. 1 º A;Art. 3º;Art. 3º A;Conversão da dívida;Art. 39;Funcines;FSA;Outras Fontes;Valor Total Captado/ Contratados(R$)
1997;B1101390800000;Miramar;Julio Bressane;Ficção;Julio Bressane;RJ; -; -;RioFilme;2;7.616;39.451,00;Sim; - ; - ;91.792,00; - ; - ; - ; - ; - ; - ; -; -;91.792,00
1997;Sem CPB;Navalha na Carne;Neville D'Almeida;Ficção;Terra Brasilis;RJ; -; -;S. Ribeiro;101;170.929;784.214,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1997;B0800853700000;O Amor Está no Ar;Amylton de Oliveira;Ficção;LCA Produções;ES; -; -;RioFilme;3;5.877;31.816,00;Sim; - ; - ;1.191.970,98; - ; - ; - ; - ; - ; - ; -; -;1.191.970,98
1997;B0800842700000;O Cangaceiro;Anibal Massaini Neto;Ficção;Cinearte Produções Cinematográficas;SP; -; -;S. Ribeiro;10;140.932;618.692,00;Sim;500.000,00; - ;692.715,00; - ;1.392.516,10; - ; - ; - ; - ; -; -;2.585.231,10
1997;B0400076600000;O Homem Nu;Hugo Carvana;Ficção;Mac Comunicacão;RJ; -; -;RioFilme;14;74.188;450.321,00;Sim;4.000,00; - ;770.000,00; - ; - ; - ; - ; - ; - ; -; -;774.000,00
1997;B0500336500000;O Noviço Rebelde;Tizuka Yamasaki;Ficção;Renato Aragão Produções;RJ; -; -;Columbia/Art Filmes;174;1.501.035;6.019.150,00;Sim; - ; - ;1.083.234,00; - ; - ; - ; - ; - ; - ; -; -;1.083.234,00
1997;B0500261400000;O Que É Isso Companheiro?;Bruno Barreto;Ficção;Filmes do Equador;RJ; -; -;Columbia;48;321.450;1.787.262,00;Sim;70.000,00; - ;2.650.381,62; - ;1.115.668,00; - ; - ; - ; - ; -; -;3.836.049,62
1997;B1001308600000;O Sertão das Memórias;José Araújo;Documentário;Ganesh Produções;CE; -; -;RioFilme;ND;3.110;15.000,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1997;B0500239200000;O Velho - A História de Luiz Carlos Prestes;Toni Venturi;Documentário;Olhar Imaginário;SP; -; -;RioFilme;2;11.874;44.290,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1997;B0500420200000;Os Matadores;Beto Brant;Ficção;Casa de Produção;SP; -; -;RioFilme;6;27.014;128.998,00;Sim;106.467,03; - ;355.260,00; - ; - ; - ; - ; - ; - ; -; -;461.727,03
1997;B0500311000000;Pequeno Dicionário Amoroso;Sandra Werneck;Ficção;Cineluz Produções;RJ; -; -;Lumière/RioFilme;23;402.430;2.100.685,00;Sim; - ; - ;258.208,00; - ;100.000,00; - ; - ; - ; - ; -; -;358.208,00
1997;B0500311300000;Silvino Santos - o Cineasta da Selva;Aurélio Michelis;Documentário;Superfilmes;SP; -; -;RioFilme;2;4.560;21.386,00;Sim; - ; - ;297.251,50; - ; - ; - ; - ; - ; - ; -; -;297.251,50
1997;B0600478000000;Um Céu de Estrelas;Tata Amaral;Ficção;Tata Amaral;SP; -; -;RioFilme;1;13.307;72.390,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1998;B0500262300000;A Grande Noitada;Denoy de Oliveira;Ficção;Palmares;SP; -; -;RioFilme;1;1.587;7.594,00;Sim;166.000,00; - ;222.796,00; - ; - ; - ; - ; - ; - ; -; -;388.796,00
1998;B0500286200000;Ação entre Amigos;Beto Brant;Ficção;Dezenove Som e Imagens;SP; -; -;S. Ribeiro/RioFilme;3;38.957;194.330,00;Sim; - ; - ;1.240.500,00; - ; - ; - ; - ; - ; - ; -; -;1.240.500,00
1998;Sem CPB;Alô;Mara Mourão;Ficção;Mamo Filmes;SP; -; -;RioFilme;ND;2.703;13.000,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1998;B0500312600000;Amor e Cia;Helvécio Ratton;Ficção;Quimera Filmes;MG; -; -;S. Ribeiro/RioFilme;24;47.179;237.310,00;Sim;459.345,00; - ;2.041.809,44; - ; - ; - ; - ; - ; - ; -; -;2.501.154,44
1998;B0500261200000;Amores;Domingos de Oliveira;Ficção;TV Zero Produções;RJ; -; -;S. Ribeiro/RioFilme;6;33.192;164.418,00;Sim; - ; - ;503.516,00; - ; - ; - ; - ; - ; - ; -; -;503.516,00
1998;B0300023600000;Bahia de Todos os Sambas;Leon Hirszman/Paulo César Saraceni;Documentário;Shater Produções Artísticas;RJ; -; -;RioFilme;1;1.037;5.107,00;Sim;8.000,00; - ; - ; - ; - ; - ; - ; - ; - ; -; -;8.000,00
1998;B0500326400000;Bela Donna;Fábio Barreto;Ficção;Filmes do Equador;RJ; -; -;S. Ribeiro/RioFilme;74;68.151;370.060,00;Sim;1.060.000,00; - ;2.939.877,60; - ;250.000,00; - ; - ; - ; - ; -; -;4.249.877,60
1998;B0400052500000;Bocage - o Triunfo do Amor;Djalma Limongi Batista;Ficção;Cinema do Século XXI;SP; -; -;RioFilme;2;16.621;73.281,00;Sim;201.013,63; - ;113.790,00; - ; - ; - ; - ; - ; - ; -; -;314.803,63
